horizonte,n_datos,MAE,MSE,RMSE,R2,MAPE_pct
1,1,0.8125,0.66015625,0.8125,,0.12091898428053204
5,5,0.975,0.984375,0.9921567416492215,0.9598383333545829,0.14359862454913858
10,10,1.60625,3.286328125,1.8128232470376144,0.9573895867098865,0.23270675231606097
