epoch,loss_train,mae_train,mse_train,modelo,numInputs,filters,kernel_size,dropout,dense_units,learning_rate,batch_size,patience,epochs_max,epochs_usados,early_stopping_monitor
46,0.029781576246023178,0.12279215455055237,0.029781576246023178,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
47,0.030017854645848274,0.12332794070243835,0.030017854645848274,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
48,0.029595235362648964,0.12328949570655823,0.029595235362648964,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
49,0.030119208618998528,0.12327361106872559,0.030119208618998528,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
50,0.029690926894545555,0.12216496467590332,0.029690926894545555,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
51,0.02993169240653515,0.12345369905233383,0.02993169240653515,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
52,0.02876478247344494,0.1213112398982048,0.02876478247344494,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
53,0.02848263829946518,0.12077278643846512,0.02848263829946518,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
54,0.029452631250023842,0.1226111650466919,0.029452631250023842,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
55,0.029287248849868774,0.12163611501455307,0.029287248849868774,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
56,0.02929386869072914,0.12177153676748276,0.02929386869072914,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
57,0.029561549425125122,0.12297071516513824,0.029561549425125122,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
58,0.029757371172308922,0.12309345602989197,0.029757371172308922,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
59,0.028308887034654617,0.12017878144979477,0.028308887034654617,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
60,0.038192540407180786,0.13357147574424744,0.038192540407180786,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
61,0.028161702677607536,0.1199084222316742,0.028161702677607536,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
62,0.028965231031179428,0.12127901613712311,0.028965231031179428,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
63,0.02883751317858696,0.12149327248334885,0.02883751317858696,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
64,0.02847902663052082,0.12086943536996841,0.02847902663052082,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
65,0.029687989503145218,0.12262608855962753,0.029687989503145218,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
66,0.028783220797777176,0.1208195760846138,0.028783220797777176,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
67,0.029406089335680008,0.12218300998210907,0.029406089335680008,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
68,0.02845626324415207,0.12027879804372787,0.02845626324415207,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
69,0.029113130643963814,0.12154418975114822,0.029113130643963814,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
70,0.029397301375865936,0.12176330387592316,0.029397301375865936,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
71,0.028413543477654457,0.1203807145357132,0.028413543477654457,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
72,0.028911780565977097,0.12066894769668579,0.028911780565977097,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
73,0.028726469725370407,0.12083563953638077,0.028726469725370407,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
74,0.028602680191397667,0.12069205939769745,0.028602680191397667,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
75,0.029073597863316536,0.1209125816822052,0.029073597863316536,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
76,0.029129456728696823,0.1209397241473198,0.029129456728696823,CNN_final,30,32,3,0.1,32,0.001,32,15,100,76,loss
