horizonte,n_datos,MAE,MSE,RMSE,R2,MAPE_pct
1,1,7.456611373924829,55.60105318174513,7.456611373924829,,1.1097179981657266
5,5,4.88437804135674,27.817113647157083,5.27419317499436,-0.13491468732424705,0.721402153516758
10,10,3.154118728447645,15.8670896241223,3.983351556682174,0.7942678816969556,0.46272585802530936
