criterio,criterio_bds_usado,numInputs,ventana,numOutputs,numJumps,filters,kernel_size,dropout,dense_units,learning_rate,epochs_max,batch_size,patience,MAE_val_h10_mean,MAE_val_h10_std,MSE_val_h10_mean,MSE_val_h10_std,BDS_pvalue_mean,BDS_pvalue_min,BDS_folds_pass,BDS_all_folds_pass,BDS_any_fold_pass
MAE_h10,max_BDS_folds_pass,30,30 días,10,1,32,3,0.1,32,0.001,100,32,15,15.593498062435373,0.3047045717090448,544.8306294035322,20.84816646932112,1.0920193356975838e-06,3.3152756949495833e-07,0,False,False
MSE_h10,max_BDS_folds_pass,30,30 días,10,1,32,3,0.1,32,0.001,100,32,15,15.593498062435373,0.3047045717090448,544.8306294035322,20.84816646932112,1.0920193356975838e-06,3.3152756949495833e-07,0,False,False
