epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,fold,filters,kernel_size,dropout,dense_units,learning_rate,batch_size,patience,epochs_max,epochs_usados,early_stopping_monitor
11,0.06970439851284027,0.04151669517159462,0.19485096633434296,0.14966298639774323,0.06970439851284027,0.04151669517159462,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
12,0.06649627536535263,0.04193297028541565,0.19010452926158905,0.14871451258659363,0.06649627536535263,0.04193297028541565,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
13,0.06943914294242859,0.036237314343452454,0.1934831440448761,0.13930031657218933,0.06943914294242859,0.036237314343452454,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
14,0.06120426952838898,0.03470468521118164,0.18242184817790985,0.13684959709644318,0.06120426952838898,0.03470468521118164,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
15,0.05691603943705559,0.035700347274541855,0.17646557092666626,0.13634422421455383,0.05691603943705559,0.035700347274541855,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
16,0.05995158478617668,0.03836619853973389,0.17975379526615143,0.1433635801076889,0.05995158478617668,0.03836619853973389,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
17,0.060640376061201096,0.043265193700790405,0.18248477578163147,0.14917172491550446,0.060640376061201096,0.043265193700790405,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
18,0.061041347682476044,0.03638789430260658,0.18094980716705322,0.14255337417125702,0.061041347682476044,0.03638789430260658,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
19,0.055087264627218246,0.03815492242574692,0.17357443273067474,0.13757668435573578,0.055087264627218246,0.03815492242574692,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
20,0.05605150759220123,0.03209199756383896,0.17427021265029907,0.12852126359939575,0.05605150759220123,0.03209199756383896,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
21,0.05557437241077423,0.031875014305114746,0.17263425886631012,0.12820008397102356,0.05557437241077423,0.031875014305114746,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
22,0.05607970803976059,0.03089740313589573,0.17260679602622986,0.12593959271907806,0.05607970803976059,0.03089740313589573,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
23,0.05100608617067337,0.03741423785686493,0.1657186895608902,0.13851387798786163,0.05100608617067337,0.03741423785686493,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
24,0.05046161636710167,0.03449193015694618,0.16309702396392822,0.1343996822834015,0.05046161636710167,0.03449193015694618,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
25,0.05426196753978729,0.03551559895277023,0.17139932513237,0.13572914898395538,0.05426196753978729,0.03551559895277023,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
26,0.048046816140413284,0.02598460577428341,0.1610487401485443,0.11584417521953583,0.048046816140413284,0.02598460577428341,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
27,0.044324230402708054,0.025204934179782867,0.15550805628299713,0.11157256364822388,0.044324230402708054,0.025204934179782867,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
28,0.042915232479572296,0.027337726205587387,0.15172560513019562,0.117713063955307,0.042915232479572296,0.027337726205587387,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
29,0.041698623448610306,0.032520197331905365,0.148414745926857,0.1281440258026123,0.041698623448610306,0.032520197331905365,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
30,0.0503949299454689,0.024676337838172913,0.16382436454296112,0.11158255487680435,0.0503949299454689,0.024676337838172913,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
31,0.04177658632397652,0.02322852797806263,0.15023598074913025,0.10805818438529968,0.04177658632397652,0.02322852797806263,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
32,0.04246561974287033,0.024948230013251305,0.15078411996364594,0.11165572702884674,0.04246561974287033,0.024948230013251305,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
33,0.04232703894376755,0.029536811634898186,0.15106546878814697,0.12849532067775726,0.04232703894376755,0.029536811634898186,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
34,0.04969901964068413,0.03921182453632355,0.1649574637413025,0.15603549778461456,0.04969901964068413,0.03921182453632355,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
35,0.055396538227796555,0.03337201848626137,0.17757537961006165,0.13451628386974335,0.055396538227796555,0.03337201848626137,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
36,0.05150344595313072,0.028691334649920464,0.16414541006088257,0.1259046196937561,0.05150344595313072,0.028691334649920464,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
37,0.04456288367509842,0.02347458153963089,0.15287241339683533,0.10774003714323044,0.04456288367509842,0.02347458153963089,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
38,0.04088198021054268,0.024263767525553703,0.14561301469802856,0.11600121855735779,0.04088198021054268,0.024263767525553703,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
39,0.0424032099545002,0.023989329114556313,0.14971254765987396,0.11592360585927963,0.0424032099545002,0.023989329114556313,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
40,0.041793469339609146,0.03420354053378105,0.15178070962429047,0.13187642395496368,0.041793469339609146,0.03420354053378105,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
41,0.04309173300862312,0.02179555408656597,0.15035201609134674,0.10155697166919708,0.04309173300862312,0.02179555408656597,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
42,0.03694729879498482,0.021401671692728996,0.14072081446647644,0.10204573720693588,0.03694729879498482,0.021401671692728996,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
43,0.03853626176714897,0.0216148030012846,0.14226722717285156,0.10083837807178497,0.03853626176714897,0.0216148030012846,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
44,0.035969845950603485,0.026400215923786163,0.14000965654850006,0.11395246535539627,0.035969845950603485,0.026400215923786163,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
45,0.04105804115533829,0.022740520536899567,0.14505793154239655,0.10714876651763916,0.04105804115533829,0.022740520536899567,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
46,0.03882557153701782,0.020681120455265045,0.14319229125976562,0.09982328861951828,0.03882557153701782,0.020681120455265045,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
47,0.03563487529754639,0.023143822327256203,0.13650581240653992,0.10078532993793488,0.03563487529754639,0.023143822327256203,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
48,0.03376429155468941,0.021881692111492157,0.13575750589370728,0.09931468963623047,0.03376429155468941,0.021881692111492157,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
49,0.03215642645955086,0.021305851638317108,0.13199709355831146,0.10240514576435089,0.03215642645955086,0.021305851638317108,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
50,0.03470073640346527,0.019975800067186356,0.13567696511745453,0.0966302901506424,0.03470073640346527,0.019975800067186356,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
51,0.033761296421289444,0.021485229954123497,0.13371986150741577,0.10289603471755981,0.033761296421289444,0.021485229954123497,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
52,0.03722110018134117,0.02529018186032772,0.1387176215648651,0.1136411651968956,0.03722110018134117,0.02529018186032772,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
53,0.0368688628077507,0.019738176837563515,0.13937678933143616,0.09756709635257721,0.0368688628077507,0.019738176837563515,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
54,0.03237453103065491,0.019713986665010452,0.1325487494468689,0.09707630425691605,0.03237453103065491,0.019713986665010452,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
55,0.03633520007133484,0.019100291654467583,0.1384243369102478,0.0920470580458641,0.03633520007133484,0.019100291654467583,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
56,0.032441396266222,0.01968606747686863,0.13124845921993256,0.09591922909021378,0.032441396266222,0.01968606747686863,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
57,0.03508837893605232,0.02062823809683323,0.13726738095283508,0.09981139004230499,0.03508837893605232,0.02062823809683323,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
58,0.035440705716609955,0.023071814328432083,0.13898031413555145,0.10695358365774155,0.035440705716609955,0.023071814328432083,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
59,0.0358785018324852,0.019366560503840446,0.13580094277858734,0.09300698339939117,0.0358785018324852,0.019366560503840446,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
60,0.03485977649688721,0.019001886248588562,0.1367672234773636,0.09257760643959045,0.03485977649688721,0.019001886248588562,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
61,0.036384228616952896,0.020850110799074173,0.13968102633953094,0.1026778444647789,0.036384228616952896,0.020850110799074173,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
62,0.03596166893839836,0.018400048837065697,0.13664525747299194,0.0916508212685585,0.03596166893839836,0.018400048837065697,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
63,0.031715959310531616,0.0189522672444582,0.13221475481987,0.09314326196908951,0.031715959310531616,0.0189522672444582,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
64,0.033661406487226486,0.0196842048317194,0.13354314863681793,0.09700292348861694,0.033661406487226486,0.0196842048317194,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
65,0.033585235476493835,0.02006622776389122,0.13546687364578247,0.09756577014923096,0.033585235476493835,0.02006622776389122,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
66,0.030421821400523186,0.018519500270485878,0.12739413976669312,0.09158758819103241,0.030421821400523186,0.018519500270485878,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
67,0.03443191200494766,0.018078969791531563,0.13497212529182434,0.0893210843205452,0.03443191200494766,0.018078969791531563,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
68,0.03038676083087921,0.017974330112338066,0.1266484558582306,0.0907716229557991,0.03038676083087921,0.017974330112338066,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
69,0.030929947271943092,0.018890850245952606,0.12690645456314087,0.09582459926605225,0.030929947271943092,0.018890850245952606,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
70,0.032801106572151184,0.02022884599864483,0.1310194730758667,0.0964084044098854,0.032801106572151184,0.02022884599864483,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
71,0.032214973121881485,0.02173873782157898,0.1308947205543518,0.1034405454993248,0.032214973121881485,0.02173873782157898,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
72,0.031098339706659317,0.01949475333094597,0.12817241251468658,0.09280861169099808,0.031098339706659317,0.01949475333094597,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
73,0.030392780900001526,0.017980357632040977,0.12786385416984558,0.09251110255718231,0.030392780900001526,0.017980357632040977,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
74,0.03139287978410721,0.02444332465529442,0.13041646778583527,0.10805143415927887,0.03139287978410721,0.02444332465529442,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
75,0.03371362388134003,0.01871897466480732,0.13243958353996277,0.09222068637609482,0.03371362388134003,0.01871897466480732,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
76,0.030433233827352524,0.01875273510813713,0.12910206615924835,0.09305962175130844,0.030433233827352524,0.01875273510813713,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
77,0.030729753896594048,0.01941700465977192,0.12828510999679565,0.09266865253448486,0.030729753896594048,0.01941700465977192,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
78,0.03268526494503021,0.021400392055511475,0.1323133260011673,0.10704746842384338,0.03268526494503021,0.021400392055511475,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
79,0.0293053537607193,0.02040034718811512,0.12723147869110107,0.09830810129642487,0.0293053537607193,0.02040034718811512,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
80,0.030777672305703163,0.018044067546725273,0.12624339759349823,0.09051080793142319,0.030777672305703163,0.018044067546725273,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
81,0.0298157949000597,0.018260549753904343,0.12696653604507446,0.09184762090444565,0.0298157949000597,0.018260549753904343,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
82,0.030359288677573204,0.018995804712176323,0.12702935934066772,0.09280363470315933,0.030359288677573204,0.018995804712176323,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
83,0.028464699164032936,0.018164629116654396,0.12231727689504623,0.0924810916185379,0.028464699164032936,0.018164629116654396,CNN,30,0,32,3,0.1,32,0.001,32,15,100,83,val_loss
1,0.39904817938804626,0.11770300567150116,0.47001269459724426,0.2725346088409424,0.39904817938804626,0.11770300567150116,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
2,0.16480852663516998,0.0698561742901802,0.2982693016529083,0.19914744794368744,0.16480852663516998,0.0698561742901802,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
3,0.12254586070775986,0.05993030220270157,0.25729864835739136,0.1865866482257843,0.12254586070775986,0.05993030220270157,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
4,0.10566611588001251,0.052840929478406906,0.23622950911521912,0.1760152280330658,0.10566611588001251,0.052840929478406906,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
5,0.09604524821043015,0.05549439415335655,0.22586773335933685,0.1733400821685791,0.09604524821043015,0.05549439415335655,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
6,0.08809605985879898,0.0465998500585556,0.2183011919260025,0.16701534390449524,0.08809605985879898,0.0465998500585556,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
7,0.08332127332687378,0.04642472416162491,0.21232669055461884,0.16309024393558502,0.08332127332687378,0.04642472416162491,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
8,0.07295267283916473,0.042216043919324875,0.2029741406440735,0.15462647378444672,0.07295267283916473,0.042216043919324875,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
9,0.06726841628551483,0.05196614935994148,0.19194579124450684,0.16308969259262085,0.06726841628551483,0.05196614935994148,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
10,0.0737752690911293,0.03961163014173508,0.2015254944562912,0.14822901785373688,0.0737752690911293,0.03961163014173508,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
11,0.06352183222770691,0.04921231418848038,0.18804381787776947,0.15818628668785095,0.06352183222770691,0.04921231418848038,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
12,0.06388194113969803,0.038190100342035294,0.18647344410419464,0.14104880392551422,0.06388194113969803,0.038190100342035294,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
13,0.06454584002494812,0.04572906345129013,0.18708845973014832,0.15744861960411072,0.06454584002494812,0.04572906345129013,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
14,0.06249126419425011,0.040588490664958954,0.18530407547950745,0.1498963087797165,0.06249126419425011,0.040588490664958954,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
15,0.0613107830286026,0.03716086223721504,0.1836884617805481,0.14262939989566803,0.0613107830286026,0.03716086223721504,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
16,0.06142847239971161,0.04036891087889671,0.1819714605808258,0.14959219098091125,0.06142847239971161,0.04036891087889671,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
17,0.06410975754261017,0.03673391789197922,0.18731465935707092,0.14398859441280365,0.06410975754261017,0.03673391789197922,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
18,0.061663951724767685,0.03508811816573143,0.18732666969299316,0.13428997993469238,0.061663951724767685,0.03508811816573143,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
19,0.05714445188641548,0.03148678317666054,0.1764097511768341,0.12871114909648895,0.05714445188641548,0.03148678317666054,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
20,0.051359083503484726,0.0319228358566761,0.16659943759441376,0.12787480652332306,0.051359083503484726,0.0319228358566761,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
21,0.0508284866809845,0.03925979882478714,0.16531728208065033,0.14106611907482147,0.0508284866809845,0.03925979882478714,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
22,0.04814447462558746,0.03545204922556877,0.16180436313152313,0.1365446299314499,0.04814447462558746,0.03545204922556877,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
23,0.05365848168730736,0.04569702222943306,0.16888757050037384,0.15283699333667755,0.05365848168730736,0.04569702222943306,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
24,0.05469467118382454,0.03697172924876213,0.16969819366931915,0.1364566832780838,0.05469467118382454,0.03697172924876213,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
25,0.05052914097905159,0.03209580108523369,0.16555741429328918,0.1297440081834793,0.05052914097905159,0.03209580108523369,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
26,0.04950641468167305,0.029425382614135742,0.1642596423625946,0.12256041914224625,0.04950641468167305,0.029425382614135742,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
27,0.05249921977519989,0.03404097631573677,0.16671529412269592,0.13270694017410278,0.05249921977519989,0.03404097631573677,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
28,0.0478435717523098,0.026782287284731865,0.16184444725513458,0.1159018948674202,0.0478435717523098,0.026782287284731865,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
29,0.046829257160425186,0.02668028324842453,0.15826871991157532,0.11236480623483658,0.046829257160425186,0.02668028324842453,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
30,0.041947513818740845,0.025149844586849213,0.15039804577827454,0.11188814789056778,0.041947513818740845,0.025149844586849213,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
31,0.04042249917984009,0.025845535099506378,0.14618957042694092,0.11503257602453232,0.04042249917984009,0.025845535099506378,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
32,0.0432613231241703,0.032992132008075714,0.15336979925632477,0.12840649485588074,0.0432613231241703,0.032992132008075714,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
33,0.04606487601995468,0.024597447365522385,0.1585751473903656,0.11211252212524414,0.04606487601995468,0.024597447365522385,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
34,0.03737219423055649,0.024599695578217506,0.14224955439567566,0.10855881124734879,0.03737219423055649,0.024599695578217506,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
35,0.03948928043246269,0.0240144245326519,0.14509740471839905,0.10872247815132141,0.03948928043246269,0.0240144245326519,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
36,0.03799055516719818,0.03373176231980324,0.14487901329994202,0.1283808946609497,0.03799055516719818,0.03373176231980324,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
37,0.04655994847416878,0.037550561130046844,0.15386348962783813,0.1391364485025406,0.04655994847416878,0.037550561130046844,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
38,0.04501133784651756,0.025205839425325394,0.15634480118751526,0.11341767758131027,0.04501133784651756,0.025205839425325394,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
39,0.047603871673345566,0.028231853619217873,0.16244542598724365,0.11957143992185593,0.047603871673345566,0.028231853619217873,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
40,0.04333043470978737,0.02280081808567047,0.1520642340183258,0.10630131512880325,0.04333043470978737,0.02280081808567047,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
41,0.03611653670668602,0.02647719532251358,0.14078721404075623,0.11491107195615768,0.03611653670668602,0.02647719532251358,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
42,0.036844342947006226,0.02190433256328106,0.14049595594406128,0.10399127006530762,0.036844342947006226,0.02190433256328106,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
43,0.03783534839749336,0.023097164928913116,0.14056538045406342,0.1082204282283783,0.03783534839749336,0.023097164928913116,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
44,0.03847697749733925,0.021768169477581978,0.1413588672876358,0.0999443307518959,0.03847697749733925,0.021768169477581978,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
45,0.036340005695819855,0.02109897881746292,0.13853314518928528,0.10021771490573883,0.036340005695819855,0.02109897881746292,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
46,0.037249937653541565,0.02146153524518013,0.14132586121559143,0.10409532487392426,0.037249937653541565,0.02146153524518013,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
47,0.03511397913098335,0.023272432386875153,0.13865680992603302,0.10918156057596207,0.03511397913098335,0.023272432386875153,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
48,0.03984930366277695,0.023786185309290886,0.14636120200157166,0.11649740487337112,0.03984930366277695,0.023786185309290886,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
49,0.04007487744092941,0.026356594637036324,0.14759379625320435,0.12164530903100967,0.04007487744092941,0.026356594637036324,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
50,0.038989048451185226,0.020500874146819115,0.14279338717460632,0.10008135437965393,0.038989048451185226,0.020500874146819115,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
51,0.03763221576809883,0.026661932468414307,0.13936689496040344,0.1130128726363182,0.03763221576809883,0.026661932468414307,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
52,0.034614406526088715,0.02207876555621624,0.13605676591396332,0.10401172190904617,0.034614406526088715,0.02207876555621624,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
53,0.0355156846344471,0.019955888390541077,0.13755036890506744,0.09688795357942581,0.0355156846344471,0.019955888390541077,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
54,0.03464293107390404,0.021401865407824516,0.13526952266693115,0.09792689979076385,0.03464293107390404,0.021401865407824516,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
55,0.0315474197268486,0.020759521052241325,0.13049496710300446,0.10131814330816269,0.0315474197268486,0.020759521052241325,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
56,0.03274397552013397,0.020137077197432518,0.13115498423576355,0.09921900928020477,0.03274397552013397,0.020137077197432518,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
57,0.03389734402298927,0.019890977069735527,0.1332676261663437,0.09600093960762024,0.03389734402298927,0.019890977069735527,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
58,0.03108636662364006,0.019860202446579933,0.1306035816669464,0.095835380256176,0.03108636662364006,0.019860202446579933,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
59,0.03163555637001991,0.02186117134988308,0.12798798084259033,0.10489613562822342,0.03163555637001991,0.02186117134988308,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
60,0.03087531588971615,0.020564446225762367,0.12921521067619324,0.10020329803228378,0.03087531588971615,0.020564446225762367,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
61,0.031901367008686066,0.019959652796387672,0.13013608753681183,0.0956653580069542,0.031901367008686066,0.019959652796387672,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
62,0.030312182381749153,0.019552987068891525,0.12838274240493774,0.09373237192630768,0.030312182381749153,0.019552987068891525,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
63,0.03030572272837162,0.023681702092289925,0.12757006287574768,0.10732495784759521,0.03030572272837162,0.023681702092289925,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
64,0.03441846743226051,0.01975766383111477,0.1329423189163208,0.10161353647708893,0.03441846743226051,0.01975766383111477,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
65,0.032806091010570526,0.0248830858618021,0.13251452147960663,0.12275994569063187,0.032806091010570526,0.0248830858618021,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
66,0.034067247062921524,0.019330868497490883,0.13703611493110657,0.09620754420757294,0.034067247062921524,0.019330868497490883,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
67,0.030741263180971146,0.019274350255727768,0.12813706696033478,0.09416278451681137,0.030741263180971146,0.019274350255727768,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
68,0.03051300160586834,0.019049568101763725,0.12719784677028656,0.09400904178619385,0.03051300160586834,0.019049568101763725,CNN,30,1,32,3,0.1,32,0.001,32,15,100,95,val_loss
