numInputs_cv,ventana_cv,numOutputs,numJumps,order,seasonal_order,trend,usar_log,MAE_val_h10_mean,MAE_val_h10_std,MSE_val_h10_mean,MSE_val_h10_std,converged_folds,folds_ok,folds_fail,BDS_pvalue_mean,BDS_pvalue_min,BDS_folds_pass,BDS_all_folds_pass,BDS_any_fold_pass,BDS_n_residuos,BDS_nota
60,60 días,10,1,"(1, 0, 0)","(0, 0, 0, 0)",c,False,16.07180260490822,11.493706531414327,466.23409431357805,663.4176031786687,4,5,0,7.409626583203565e-29,7.409626583203565e-29,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(1, 0, 0)","(0, 0, 0, 0)",t,False,8.633852120696504,2.972181925605667,111.8604768811844,79.80641110867109,5,5,0,9.704973738815396e-35,9.704973738815396e-35,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(2, 0, 0)","(0, 0, 0, 0)",n,False,5.794133490841426,2.9453772709323256,56.51709802677593,58.03258885337758,5,5,0,2.0588566727798307e-32,2.0588566727798307e-32,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(2, 0, 0)","(0, 0, 0, 0)",c,False,7.223016500375441,11.269457760598888,222.270146743269,433.8081201195469,5,5,0,2.40430621186936e-26,2.40430621186936e-26,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(2, 0, 0)","(0, 0, 0, 0)",t,False,8.230833512841258,5.109214136928018,125.0490458385785,157.77237030737214,5,5,0,1.1263427780792218e-30,1.1263427780792218e-30,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(1, 1, 0)","(0, 0, 0, 0)",n,False,12.557263534740343,3.8611167657029823,213.99661929261552,152.64680829202865,5,5,0,4.8754803088785815e-29,4.8754803088785815e-29,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(1, 1, 0)","(0, 0, 0, 0)",c,False,4.162363210107671,3.3873554992908588,38.73714055032925,60.15500945838625,5,5,0,5.3544001548351415e-31,5.3544001548351415e-31,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(1, 1, 0)","(0, 0, 0, 0)",t,False,9.888653662901074,1.4486087474376605,132.05272584371681,28.868237783908583,5,5,0,5.446572139430972e-46,5.446572139430972e-46,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(0, 1, 1)","(0, 0, 0, 0)",n,False,13.276537945262504,4.014808621553485,234.1831480796953,165.1641558216582,5,5,0,4.071835773595592e-29,4.071835773595592e-29,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(0, 1, 1)","(0, 0, 0, 0)",c,False,4.112540531724667,3.50812898324976,39.48982978260507,62.340761733086204,5,5,0,2.603108277033965e-31,2.603108277033965e-31,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(0, 1, 1)","(0, 0, 0, 0)",t,False,10.235005449336779,1.3291519593534444,140.02611181311335,27.087651015427387,5,5,0,5.889882191482313e-45,5.889882191482313e-45,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(1, 1, 1)","(0, 0, 0, 0)",n,False,12.527059503826774,3.896567170236307,213.51408005734166,153.70318518076635,5,5,0,3.8908491278581976e-29,3.8908491278581976e-29,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(1, 1, 1)","(0, 0, 0, 0)",c,False,4.210007497243721,3.192246990017171,37.51121785501648,55.43557027260467,5,5,0,4.3589452554713997e-32,4.3589452554713997e-32,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(1, 1, 1)","(0, 0, 0, 0)",t,False,9.900291594599079,1.4509812482078137,132.34136480747935,28.94717741038882,5,5,0,5.446572139430972e-46,5.446572139430972e-46,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(2, 1, 1)","(0, 0, 0, 0)",n,False,12.055585128611073,4.236033991032882,204.14396988473206,161.88671766452137,5,5,0,3.514345677508356e-28,3.514345677508356e-28,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(2, 1, 1)","(0, 0, 0, 0)",c,False,3.4142323139026303,3.880074735111028,35.526224257737766,62.60940315905988,5,5,0,2.061907489889644e-27,2.061907489889644e-27,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
60,60 días,10,1,"(2, 1, 1)","(0, 0, 0, 0)",t,False,16.664673235855,3.7366286029310998,361.86892272391503,127.60641964166943,4,5,0,1.3098405788529753e-71,1.3098405788529753e-71,0,False,False,50,BDS calculado sobre residuos agregados de todos los folds de validación
