criterio,criterio_bds_usado,numInputs_cv,ventana_cv,numOutputs,numJumps,order,seasonal_order,trend,usar_log,MAE_val_h10_mean,MAE_val_h10_std,MSE_val_h10_mean,MSE_val_h10_std,converged_folds,folds_ok,folds_fail,BDS_pvalue_mean,BDS_pvalue_min,BDS_folds_pass,BDS_all_folds_pass,BDS_any_fold_pass,BDS_n_residuos,BDS_nota
MAE_h10,BDS_all_folds_pass,30,30 días,10,1,"(2, 1, 1)","(0, 0, 0, 0)",c,False,26.558419253895114,27.660825698875733,2378.9263899947746,4366.30279395479,5,5,0,0.06031858471849819,0.06031858471849819,1,True,True,50,BDS calculado sobre residuos agregados de todos los folds de validación
MSE_h10,BDS_all_folds_pass,30,30 días,10,1,"(2, 0, 0)","(0, 0, 0, 0)",t,False,30.946816434942054,23.29230756667141,2217.670974199439,3516.0992039653624,5,5,0,0.0649989307912974,0.0649989307912974,1,True,True,50,BDS calculado sobre residuos agregados de todos los folds de validación
