criterio,criterio_bds_usado,numInputs,ventana,numOutputs,numJumps,n_neighbors,weights,p,metric,MAE_val_h10_mean,MAE_val_h10_std,MSE_val_h10_mean,MSE_val_h10_std,BDS_pvalue_mean,BDS_pvalue_min,BDS_folds_pass,BDS_all_folds_pass,BDS_any_fold_pass
MAE_h10,max_BDS_folds_pass,30,30 días,10,1,10,distance,2,minkowski,27.026344117463616,1.2799676850586708,1366.026428339975,98.59022711668608,2.619909204400357e-15,1.549555687530158e-15,0,False,False
MSE_h10,max_BDS_folds_pass,30,30 días,10,1,10,distance,2,minkowski,27.026344117463616,1.2799676850586708,1366.026428339975,98.59022711668608,2.619909204400357e-15,1.549555687530158e-15,0,False,False
