horizonte,n_datos,MAE,MSE,RMSE,R2,MAPE_pct
1,1,1.0875137487632855,1.1826861537491746,1.0875137487632855,,0.16184745586654792
5,5,1.3744630748851931,2.4273849171508255,1.5580067128067279,0.9009647503616763,0.20227864567085077
10,10,0.9573164268239793,1.4383284371748772,1.1993033132510214,0.9813506847692074,0.14015196870800622
