epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,units,dropout,learning_rate,batch_size,patience,epochs_max,epochs_usados,early_stopping_monitor
76,0.02186855673789978,,0.10006675124168396,,0.02186855673789978,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
77,0.02206450141966343,,0.100081667304039,,0.02206450141966343,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
78,0.021990399807691574,,0.100279800593853,,0.021990399807691574,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
79,0.02187744714319706,,0.09983719885349274,,0.02187744714319706,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
80,0.021917320787906647,,0.10004398226737976,,0.021917320787906647,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
81,0.021822437644004822,,0.09979717433452606,,0.021822437644004822,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
82,0.021864254027605057,,0.0999702736735344,,0.021864254027605057,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
83,0.021765228360891342,,0.09952931851148605,,0.021765228360891342,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
84,0.02200808748602867,,0.10027627646923065,,0.02200808748602867,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
85,0.0221849475055933,,0.10077516734600067,,0.0221849475055933,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
86,0.021922240033745766,,0.10014603286981583,,0.021922240033745766,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
87,0.021644072607159615,,0.09958851337432861,,0.021644072607159615,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
88,0.021571794524788857,,0.09922414273023605,,0.021571794524788857,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
89,0.021747106686234474,,0.09962033480405807,,0.021747106686234474,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
90,0.022121723741292953,,0.10006926953792572,,0.022121723741292953,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
91,0.02186502330005169,,0.09984850883483887,,0.02186502330005169,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
92,0.021548740565776825,,0.09919530153274536,,0.021548740565776825,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
93,0.021687384694814682,,0.09950867295265198,,0.021687384694814682,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
94,0.021583586931228638,,0.09936988353729248,,0.021583586931228638,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
95,0.02180798351764679,,0.09988653659820557,,0.02180798351764679,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
96,0.02186151221394539,,0.0999322161078453,,0.02186151221394539,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
97,0.021261369809508324,,0.09842783957719803,,0.021261369809508324,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
98,0.021410658955574036,,0.09879615902900696,,0.021410658955574036,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
99,0.02164401113986969,,0.0999443456530571,,0.02164401113986969,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
100,0.02159264124929905,,0.09890322387218475,,0.02159264124929905,,LSTM_final,30,32,0.1,0.001,32,15,100,100,loss
