epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,fold,units,dropout,learning_rate,batch_size,patience,epochs_max,epochs_usados,early_stopping_monitor
19,0.04287908971309662,0.03910541161894798,0.15460827946662903,0.1400594264268875,0.04287908971309662,0.03910541161894798,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
20,0.04012827202677727,0.03919701278209686,0.15002945065498352,0.13996735215187073,0.04012827202677727,0.03919701278209686,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
21,0.04119499772787094,0.037073150277137756,0.15091869235038757,0.13625819981098175,0.04119499772787094,0.037073150277137756,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
22,0.04126996919512749,0.03718896582722664,0.15110178291797638,0.13522325456142426,0.04126996919512749,0.03718896582722664,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
23,0.03968438133597374,0.0353931300342083,0.14752984046936035,0.13188502192497253,0.03968438133597374,0.0353931300342083,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
24,0.03941410779953003,0.035268090665340424,0.147298201918602,0.13317666947841644,0.03941410779953003,0.035268090665340424,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
25,0.03925097733736038,0.034356288611888885,0.14779970049858093,0.13051429390907288,0.03925097733736038,0.034356288611888885,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
26,0.0380941778421402,0.03563179075717926,0.1443932056427002,0.1325044482946396,0.0380941778421402,0.03563179075717926,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
27,0.037462905049324036,0.03525521233677864,0.14341238141059875,0.1323309987783432,0.037462905049324036,0.03525521233677864,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
28,0.038521021604537964,0.033310666680336,0.14553365111351013,0.1272437870502472,0.038521021604537964,0.033310666680336,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
29,0.03615632653236389,0.0336199626326561,0.1410418599843979,0.1275685578584671,0.03615632653236389,0.0336199626326561,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
30,0.03750981017947197,0.03356960043311119,0.1432340294122696,0.12853296101093292,0.03750981017947197,0.03356960043311119,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
31,0.035219717770814896,0.033474039286375046,0.13831155002117157,0.1273692101240158,0.035219717770814896,0.033474039286375046,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
32,0.03604479506611824,0.03183264657855034,0.14049209654331207,0.12362805753946304,0.03604479506611824,0.03183264657855034,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
33,0.03446579352021217,0.03233260661363602,0.13654689490795135,0.12509119510650635,0.03446579352021217,0.03233260661363602,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
34,0.03571368753910065,0.032382261008024216,0.13996781408786774,0.12533234059810638,0.03571368753910065,0.032382261008024216,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
35,0.036439597606658936,0.03220209851861,0.14044764637947083,0.12292880564928055,0.036439597606658936,0.03220209851861,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
36,0.0348026305437088,0.03138173371553421,0.1371735781431198,0.12246735394001007,0.0348026305437088,0.03138173371553421,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
37,0.03319387510418892,0.029958734288811684,0.13519762456417084,0.11982804536819458,0.03319387510418892,0.029958734288811684,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
38,0.03296976536512375,0.029483109712600708,0.1349787414073944,0.11906401813030243,0.03296976536512375,0.029483109712600708,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
39,0.03295894339680672,0.02987075410783291,0.13414576649665833,0.11860834807157516,0.03295894339680672,0.02987075410783291,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
40,0.03298402950167656,0.030206577852368355,0.13467472791671753,0.11954449862241745,0.03298402950167656,0.030206577852368355,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
41,0.03293200209736824,0.029376711696386337,0.1342759132385254,0.11849414557218552,0.03293200209736824,0.029376711696386337,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
42,0.0322546549141407,0.029250778257846832,0.13233382999897003,0.1177443414926529,0.0322546549141407,0.029250778257846832,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
43,0.03263417258858681,0.02812783792614937,0.1329880803823471,0.11736701428890228,0.03263417258858681,0.02812783792614937,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
44,0.03197108954191208,0.029517289251089096,0.13136202096939087,0.11743667721748352,0.03197108954191208,0.029517289251089096,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
45,0.03242960199713707,0.028655868023633957,0.1328008621931076,0.11532945185899734,0.03242960199713707,0.028655868023633957,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
46,0.03139326348900795,0.027663273736834526,0.13074737787246704,0.11455404758453369,0.03139326348900795,0.027663273736834526,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
47,0.03156225383281708,0.02773118019104004,0.13099922239780426,0.11417299509048462,0.03156225383281708,0.02773118019104004,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
48,0.031650643795728683,0.02845980040729046,0.1304595023393631,0.11530110985040665,0.031650643795728683,0.02845980040729046,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
49,0.029961256310343742,0.028189295902848244,0.12725591659545898,0.11432815343141556,0.029961256310343742,0.028189295902848244,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
50,0.03037646785378456,0.030646760016679764,0.12745052576065063,0.11831081658601761,0.03037646785378456,0.030646760016679764,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
51,0.030572956427931786,0.027660921216011047,0.12729406356811523,0.11356281489133835,0.030572956427931786,0.027660921216011047,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
52,0.030764644965529442,0.027645910158753395,0.1295108050107956,0.1135445162653923,0.030764644965529442,0.027645910158753395,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
53,0.030226105824112892,0.02799201011657715,0.12806686758995056,0.11357128620147705,0.030226105824112892,0.02799201011657715,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
54,0.0299394428730011,0.026547512039542198,0.12756258249282837,0.11258286237716675,0.0299394428730011,0.026547512039542198,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
55,0.030546899884939194,0.026550834998488426,0.12908658385276794,0.111009880900383,0.030546899884939194,0.026550834998488426,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
56,0.0287531279027462,0.026545803993940353,0.12389545142650604,0.1109987124800682,0.0287531279027462,0.026545803993940353,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
57,0.03076087310910225,0.02684176340699196,0.12926769256591797,0.11113590747117996,0.03076087310910225,0.02684176340699196,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
58,0.030220191925764084,0.025918113067746162,0.12708961963653564,0.1102103516459465,0.030220191925764084,0.025918113067746162,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
59,0.028895802795886993,0.026917096227407455,0.12438201904296875,0.11136619001626968,0.028895802795886993,0.026917096227407455,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
60,0.029477139934897423,0.025948461145162582,0.1272227019071579,0.10987469553947449,0.029477139934897423,0.025948461145162582,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
61,0.029412459582090378,0.02648293413221836,0.1266239434480667,0.11079461872577667,0.029412459582090378,0.02648293413221836,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
62,0.029553089290857315,0.026112737134099007,0.12494444102048874,0.1098533421754837,0.029553089290857315,0.026112737134099007,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
63,0.029751691967248917,0.02595275081694126,0.12697120010852814,0.10957737267017365,0.029751691967248917,0.02595275081694126,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
64,0.0287004467099905,0.025783078745007515,0.1237054094672203,0.10887131839990616,0.0287004467099905,0.025783078745007515,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
65,0.02990162931382656,0.02579476684331894,0.12777560949325562,0.1089354082942009,0.02990162931382656,0.02579476684331894,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
66,0.028573786839842796,0.025567973032593727,0.12415892630815506,0.10914120078086853,0.028573786839842796,0.025567973032593727,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
67,0.029134875163435936,0.026281161233782768,0.12572264671325684,0.11022485047578812,0.029134875163435936,0.026281161233782768,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
68,0.027819087728857994,0.02668173797428608,0.12217169255018234,0.11058203130960464,0.027819087728857994,0.02668173797428608,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
69,0.02941383421421051,0.02553781494498253,0.12527799606323242,0.10747942328453064,0.02941383421421051,0.02553781494498253,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
70,0.02754022926092148,0.026131173595786095,0.12120228260755539,0.10883037000894547,0.02754022926092148,0.026131173595786095,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
71,0.027376214042305946,0.025662388652563095,0.12106073647737503,0.10841452330350876,0.027376214042305946,0.025662388652563095,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
72,0.02721370756626129,0.02520671859383583,0.12183517217636108,0.10749474912881851,0.02721370756626129,0.02520671859383583,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
73,0.02802235074341297,0.025069111958146095,0.12175246328115463,0.1065085232257843,0.02802235074341297,0.025069111958146095,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
74,0.02737394906580448,0.024932174012064934,0.1209191083908081,0.10686231404542923,0.02737394906580448,0.024932174012064934,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
75,0.027661094442009926,0.025684110820293427,0.120763398706913,0.10760796815156937,0.027661094442009926,0.025684110820293427,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
76,0.02759663388133049,0.024614106863737106,0.12269897013902664,0.10560983419418335,0.02759663388133049,0.024614106863737106,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
77,0.026323547586798668,0.024781402200460434,0.11943971365690231,0.10607760399580002,0.026323547586798668,0.024781402200460434,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
78,0.027154894545674324,0.025055110454559326,0.12017133831977844,0.10635960847139359,0.027154894545674324,0.025055110454559326,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
79,0.026858597993850708,0.024379707872867584,0.11956702172756195,0.10548274219036102,0.026858597993850708,0.024379707872867584,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
80,0.02697208896279335,0.024496981874108315,0.11895459145307541,0.10580957680940628,0.02697208896279335,0.024496981874108315,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
81,0.02692563645541668,0.02498561330139637,0.11860775947570801,0.10508795827627182,0.02692563645541668,0.02498561330139637,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
82,0.026596635580062866,0.02411326952278614,0.11897215247154236,0.10549551993608475,0.026596635580062866,0.02411326952278614,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
83,0.027042215690016747,0.024511907249689102,0.11952506005764008,0.10547993332147598,0.027042215690016747,0.024511907249689102,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
84,0.025504548102617264,0.024121971800923347,0.11637935787439346,0.10536948591470718,0.025504548102617264,0.024121971800923347,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
85,0.02670353464782238,0.02423846162855625,0.12003869563341141,0.10518376529216766,0.02670353464782238,0.02423846162855625,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
86,0.02586338110268116,0.02390941232442856,0.1171501874923706,0.10384558886289597,0.02586338110268116,0.02390941232442856,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
87,0.026646576821804047,0.02450517565011978,0.11850979924201965,0.10472992807626724,0.026646576821804047,0.02450517565011978,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
88,0.027109244838356972,0.023854494094848633,0.11996002495288849,0.10674691945314407,0.027109244838356972,0.023854494094848633,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
89,0.026654867455363274,0.023988008499145508,0.12017083913087845,0.10389020293951035,0.026654867455363274,0.023988008499145508,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
90,0.02596418745815754,0.0241908710449934,0.11615917831659317,0.10396107286214828,0.02596418745815754,0.0241908710449934,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
91,0.026097973808646202,0.023314934223890305,0.11582471430301666,0.10375137627124786,0.026097973808646202,0.023314934223890305,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
92,0.026290060952305794,0.02379845827817917,0.11812383681535721,0.10337323695421219,0.026290060952305794,0.02379845827817917,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
93,0.02563592419028282,0.023735733702778816,0.11563897877931595,0.10368289798498154,0.02563592419028282,0.023735733702778816,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
94,0.02613196335732937,0.024007221683859825,0.11671376973390579,0.10338262468576431,0.02613196335732937,0.024007221683859825,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
95,0.026501579210162163,0.024855539202690125,0.11792441457509995,0.10421488434076309,0.026501579210162163,0.024855539202690125,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
96,0.0256278607994318,0.02389293909072876,0.11707527935504913,0.10329833626747131,0.0256278607994318,0.02389293909072876,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
97,0.025701552629470825,0.02330292947590351,0.11674291640520096,0.10256092995405197,0.025701552629470825,0.02330292947590351,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
98,0.025506693869829178,0.023419778794050217,0.11552336812019348,0.10264679044485092,0.025506693869829178,0.023419778794050217,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
99,0.02491174079477787,0.024540511891245842,0.11407354474067688,0.10413039475679398,0.02491174079477787,0.024540511891245842,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
100,0.025266215205192566,0.023287227377295494,0.11510562896728516,0.10273336619138718,0.025266215205192566,0.023287227377295494,LSTM,30,0,32,0.1,0.001,32,15,100,100,val_loss
1,0.7127017378807068,0.3891611695289612,0.6601480841636658,0.4723125398159027,0.7127017378807068,0.3891611695289612,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
2,0.30238834023475647,0.16003067791461945,0.4216705560684204,0.3012970983982086,0.30238834023475647,0.16003067791461945,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
3,0.1494322568178177,0.08499810099601746,0.29163244366645813,0.22326135635375977,0.1494322568178177,0.08499810099601746,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
4,0.09180653095245361,0.06351028382778168,0.2298552393913269,0.19609059393405914,0.09180653095245361,0.06351028382778168,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
5,0.0746179148554802,0.05560070648789406,0.20897968113422394,0.1828100085258484,0.0746179148554802,0.05560070648789406,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
6,0.06727579981088638,0.053052790462970734,0.19711531698703766,0.1709768921136856,0.06727579981088638,0.053052790462970734,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
7,0.061341360211372375,0.05319540947675705,0.18603633344173431,0.16852621734142303,0.061341360211372375,0.05319540947675705,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
8,0.05497249588370323,0.049225740134716034,0.1773620843887329,0.16220669448375702,0.05497249588370323,0.049225740134716034,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
9,0.052656471729278564,0.04840671271085739,0.1733858734369278,0.15965670347213745,0.052656471729278564,0.04840671271085739,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
10,0.05188540741801262,0.047631897032260895,0.17125409841537476,0.15775613486766815,0.05188540741801262,0.047631897032260895,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
11,0.050026699900627136,0.045797355473041534,0.16887791454792023,0.15472090244293213,0.050026699900627136,0.045797355473041534,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
12,0.048404548317193985,0.04705119878053665,0.16585847735404968,0.1556616574525833,0.048404548317193985,0.04705119878053665,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
13,0.04725056141614914,0.044589169323444366,0.16371768712997437,0.1510690301656723,0.04725056141614914,0.044589169323444366,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
14,0.048078201711177826,0.045214809477329254,0.16416679322719574,0.15175946056842804,0.048078201711177826,0.045214809477329254,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
15,0.04525001719594002,0.04435310140252113,0.15933765470981598,0.15080386400222778,0.04525001719594002,0.04435310140252113,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
16,0.04582178220152855,0.042797382920980453,0.16016174852848053,0.14742949604988098,0.04582178220152855,0.042797382920980453,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
17,0.04393686354160309,0.041627027094364166,0.15659943222999573,0.14455458521842957,0.04393686354160309,0.041627027094364166,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
18,0.04502157121896744,0.041351113468408585,0.15759854018688202,0.14281634986400604,0.04502157121896744,0.041351113468408585,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
19,0.0436442568898201,0.040561407804489136,0.15514153242111206,0.1418314278125763,0.0436442568898201,0.040561407804489136,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
20,0.04173736274242401,0.04045609012246132,0.15182501077651978,0.14055170118808746,0.04173736274242401,0.04045609012246132,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
21,0.039968594908714294,0.03912970423698425,0.14875578880310059,0.14012399315834045,0.039968594908714294,0.03912970423698425,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
22,0.03938249126076698,0.03698321059346199,0.14758287370204926,0.13518314063549042,0.03938249126076698,0.03698321059346199,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
23,0.038878850638866425,0.037256017327308655,0.14654895663261414,0.13583989441394806,0.038878850638866425,0.037256017327308655,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
24,0.039472538977861404,0.03661564737558365,0.1485024094581604,0.13406290113925934,0.039472538977861404,0.03661564737558365,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
25,0.036393024027347565,0.03479105979204178,0.1415543258190155,0.1314941942691803,0.036393024027347565,0.03479105979204178,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
26,0.038412511348724365,0.035736966878175735,0.14579971134662628,0.13139520585536957,0.038412511348724365,0.035736966878175735,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
27,0.036277469247579575,0.03474533557891846,0.14144586026668549,0.13111421465873718,0.036277469247579575,0.03474533557891846,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
28,0.03670759126543999,0.03354768455028534,0.1423652470111847,0.12785527110099792,0.03670759126543999,0.03354768455028534,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
29,0.03666692227125168,0.03346508368849754,0.14144402742385864,0.12797020375728607,0.03666692227125168,0.03346508368849754,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
30,0.035952840000391006,0.03283415362238884,0.13953545689582825,0.12568633258342743,0.035952840000391006,0.03283415362238884,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
31,0.03511397913098335,0.03301166743040085,0.13811273872852325,0.12612241506576538,0.03511397913098335,0.03301166743040085,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
32,0.03647097572684288,0.03157302364706993,0.14026598632335663,0.12396131455898285,0.03647097572684288,0.03157302364706993,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
33,0.03438543528318405,0.03215283527970314,0.1366533488035202,0.12393900007009506,0.03438543528318405,0.03215283527970314,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
34,0.033890482038259506,0.032183367758989334,0.1352550983428955,0.12400493025779724,0.033890482038259506,0.032183367758989334,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
35,0.03349773958325386,0.0308669600635767,0.13391533493995667,0.1217665895819664,0.03349773958325386,0.0308669600635767,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
36,0.03379454463720322,0.030480381101369858,0.13586707413196564,0.12064237147569656,0.03379454463720322,0.030480381101369858,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
37,0.03363370522856712,0.03040250763297081,0.13477642834186554,0.12032021582126617,0.03363370522856712,0.03040250763297081,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
38,0.033533964306116104,0.030881445854902267,0.13527412712574005,0.12142056971788406,0.033533964306116104,0.030881445854902267,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
39,0.03161762282252312,0.030193859711289406,0.13012830913066864,0.1199943795800209,0.03161762282252312,0.030193859711289406,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
40,0.03133465722203255,0.030608251690864563,0.1288646012544632,0.11994240432977676,0.03133465722203255,0.030608251690864563,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
41,0.03361096233129501,0.030463343486189842,0.13533878326416016,0.11991141736507416,0.03361096233129501,0.030463343486189842,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
42,0.03298739343881607,0.02977358177304268,0.13325360417366028,0.11861120909452438,0.03298739343881607,0.02977358177304268,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
43,0.03174198046326637,0.029379189014434814,0.1317719966173172,0.11843384057283401,0.03174198046326637,0.029379189014434814,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
44,0.030726896598935127,0.02909783646464348,0.12954077124595642,0.11729041486978531,0.030726896598935127,0.02909783646464348,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
45,0.030597344040870667,0.029755117371678352,0.12855060398578644,0.11720804125070572,0.030597344040870667,0.029755117371678352,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
46,0.03060314804315567,0.028220582753419876,0.1282927542924881,0.11563041061162949,0.03060314804315567,0.028220582753419876,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
47,0.029377564787864685,0.02900657430291176,0.12625443935394287,0.11608856916427612,0.029377564787864685,0.02900657430291176,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
48,0.030447177588939667,0.028336741030216217,0.12798142433166504,0.11513634771108627,0.030447177588939667,0.028336741030216217,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
49,0.03116292506456375,0.028362546116113663,0.13012677431106567,0.11505361646413803,0.03116292506456375,0.028362546116113663,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
50,0.029795505106449127,0.02756977081298828,0.1271117478609085,0.11428195983171463,0.029795505106449127,0.02756977081298828,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
51,0.03125517815351486,0.02865736559033394,0.129129558801651,0.1159241572022438,0.03125517815351486,0.02865736559033394,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
52,0.02943282388150692,0.027953259646892548,0.1266937553882599,0.11437449604272842,0.02943282388150692,0.027953259646892548,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
53,0.02977512776851654,0.02831549197435379,0.12744173407554626,0.1140131726861,0.02977512776851654,0.02831549197435379,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
54,0.029915275052189827,0.028410043567419052,0.12681178748607635,0.11416143923997879,0.029915275052189827,0.028410043567419052,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
55,0.029223348945379257,0.027823425829410553,0.12596233189105988,0.11313099414110184,0.029223348945379257,0.027823425829410553,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
56,0.02805577777326107,0.026578668504953384,0.12337277829647064,0.11157689243555069,0.02805577777326107,0.026578668504953384,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
57,0.028946949169039726,0.026258336380124092,0.1255323886871338,0.11110328137874603,0.028946949169039726,0.026258336380124092,LSTM,30,1,32,0.1,0.001,32,15,100,100,val_loss
