horizonte,n_datos,MAE,MSE,RMSE,R2,MAPE_pct
1,1,1.9379439166582415,3.7556266241126854,1.9379439166582415,,0.28841133537840075
5,5,1.4061914839269547,2.497982162476419,1.580500605022478,0.8980844425187798,0.20746249671584463
10,10,1.0754903129345394,1.6220598707274356,1.2736011427159744,0.9789684295529668,0.1573727971160805
