numInputs,ventana,numOutputs,numJumps,alpha,MAE_val_h10_mean,MAE_val_h10_std,MSE_val_h10_mean,MSE_val_h10_std,BDS_pvalue_mean,BDS_pvalue_min,BDS_folds_pass,BDS_all_folds_pass,BDS_any_fold_pass
30,30 días,10,1,0.0001,15.651804560657553,0.36547523130321036,659.0807280429775,109.0406600090953,0.00031351409646567874,5.938588973018023e-07,0,False,False
30,30 días,10,1,0.001,15.60127932486571,0.35682690541712414,653.0470227167789,103.05215760671572,0.0002734256049376014,6.267651749117929e-07,0,False,False
30,30 días,10,1,0.01,15.460077316745714,0.36687746618905104,622.0618463027059,64.02985421794914,7.472329224759129e-05,4.632936816184803e-07,0,False,False
30,30 días,10,1,0.1,15.980158117698997,0.4476387476684513,610.4688795676788,37.47988838271638,1.7755740115315628e-06,3.046193740263342e-07,0,False,False
30,30 días,10,1,1.0,18.14046273796153,0.43258619422758166,710.3324046503768,27.823210835996463,2.3181343980021086e-07,1.2206653666071345e-07,0,False,False
60,60 días,10,1,0.0001,16.086017611621305,0.8216321011917276,715.3180971427968,51.41872061199064,0.11732393922594428,0.09208890574649088,5,True,True
60,60 días,10,1,0.001,15.91494527251931,0.8027743113842203,698.1232516676612,48.315172415954784,0.11539020120734529,0.09210690952028754,5,True,True
60,60 días,10,1,0.01,15.523120995176129,0.7460258511451997,647.3705211092931,35.45195829658511,0.10910067182208658,0.08877501260506726,5,True,True
60,60 días,10,1,0.1,16.145106008500996,0.8463343676112919,649.5718057561844,80.43086192536646,0.07335787475750082,0.0,4,False,True
60,60 días,10,1,1.0,18.681093312773697,0.3878163832407682,765.5062881347634,52.871150521700336,0.0,0.0,0,False,False
