epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,fold,epochs_usados,early_stopping_monitor,wavelet,dwt_level,low_filters,low_lstm_units,low_dropout,high_filters_1,high_filters_2,high_dilation_rates,high_dropout,dense_units,learning_rate,epochs_max,batch_size,patience
20,0.03494487330317497,0.07397105544805527,0.13844336569309235,0.19524390995502472,0.03494487330317497,0.07397105544805527,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
21,0.05192526802420616,0.059919606894254684,0.16944169998168945,0.1895180642604828,0.05192526802420616,0.059919606894254684,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
22,0.03584078699350357,0.04083900898694992,0.14492404460906982,0.14302711188793182,0.03584078699350357,0.04083900898694992,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
23,0.03533114865422249,0.05686921998858452,0.13832181692123413,0.15518739819526672,0.03533114865422249,0.05686921998858452,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
24,0.03867635503411293,0.09408404678106308,0.1446370780467987,0.2188861221075058,0.03867635503411293,0.09408404678106308,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
25,0.04934985190629959,0.05613062530755997,0.1644846796989441,0.16149131953716278,0.04934985190629959,0.05613062530755997,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
26,0.0339561402797699,0.04477205500006676,0.1326708048582077,0.15328601002693176,0.0339561402797699,0.04477205500006676,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
27,0.025996744632720947,0.06751014292240143,0.11939410865306854,0.18282561004161835,0.025996744632720947,0.06751014292240143,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
28,0.03379281610250473,0.04170956090092659,0.13581468164920807,0.13914552330970764,0.03379281610250473,0.04170956090092659,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
29,0.025661060586571693,0.05087139829993248,0.12127842009067535,0.1437039077281952,0.025661060586571693,0.05087139829993248,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
30,0.024419916793704033,0.06349164992570877,0.11444613337516785,0.1620517522096634,0.024419916793704033,0.06349164992570877,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
31,0.029698815196752548,0.05364815518260002,0.12711037695407867,0.16528300940990448,0.029698815196752548,0.05364815518260002,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
32,0.02489796094596386,0.04114078730344772,0.12047174572944641,0.14233741164207458,0.02489796094596386,0.04114078730344772,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
33,0.02554776519536972,0.05002786964178085,0.12057864665985107,0.1682875156402588,0.02554776519536972,0.05002786964178085,DWT_CLSTM_DCCNN,80,0,33,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
1,0.517160177230835,0.1607733517885208,0.5750912427902222,0.3076629638671875,0.517160177230835,0.1607733517885208,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
2,0.1840858906507492,0.1867131143808365,0.3354957401752472,0.32799115777015686,0.1840858906507492,0.1867131143808365,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
3,0.1526121199131012,0.23432143032550812,0.3048555254936218,0.38370180130004883,0.1526121199131012,0.23432143032550812,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
4,0.17519418895244598,0.08725973218679428,0.31846341490745544,0.2232281118631363,0.17519418895244598,0.08725973218679428,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
5,0.10702089220285416,0.05498865246772766,0.24919061362743378,0.16316045820713043,0.10702089220285416,0.05498865246772766,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
6,0.06727172434329987,0.05655307322740555,0.1965477019548416,0.1672145277261734,0.06727172434329987,0.05655307322740555,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
7,0.057976413518190384,0.05487801879644394,0.1819145381450653,0.17533011734485626,0.057976413518190384,0.05487801879644394,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
8,0.044677723199129105,0.04673527553677559,0.16304343938827515,0.15110847353935242,0.044677723199129105,0.04673527553677559,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
9,0.041205473244190216,0.050999097526073456,0.15497921407222748,0.15595276653766632,0.041205473244190216,0.050999097526073456,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
10,0.04056750237941742,0.050478335469961166,0.15277886390686035,0.15581907331943512,0.04056750237941742,0.050478335469961166,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
11,0.03686528652906418,0.050498444586992264,0.14445942640304565,0.1500651091337204,0.03686528652906418,0.050498444586992264,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
12,0.03561875969171524,0.0507647730410099,0.1437622606754303,0.1571098417043686,0.03561875969171524,0.0507647730410099,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
13,0.036359407007694244,0.0420236699283123,0.14230626821517944,0.13497748970985413,0.036359407007694244,0.0420236699283123,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
14,0.037380509078502655,0.044507332146167755,0.1427822858095169,0.14283223450183868,0.037380509078502655,0.044507332146167755,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
15,0.031543273478746414,0.03875258192420006,0.13264822959899902,0.13260991871356964,0.031543273478746414,0.03875258192420006,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
16,0.030390985310077667,0.047451410442590714,0.13031479716300964,0.15946675837039948,0.030390985310077667,0.047451410442590714,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
17,0.032786622643470764,0.049849241971969604,0.1340201050043106,0.16543182730674744,0.032786622643470764,0.049849241971969604,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
18,0.026857396587729454,0.05151091143488884,0.12314750999212265,0.17245736718177795,0.026857396587729454,0.05151091143488884,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
19,0.033405691385269165,0.05708030238747597,0.13672655820846558,0.17168720066547394,0.033405691385269165,0.05708030238747597,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
20,0.03228243440389633,0.051559653133153915,0.13354088366031647,0.17482459545135498,0.03228243440389633,0.051559653133153915,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
21,0.027995718643069267,0.052469369024038315,0.12570150196552277,0.17230404913425446,0.027995718643069267,0.052469369024038315,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
22,0.03495953232049942,0.04015466570854187,0.14268408715724945,0.1428423821926117,0.03495953232049942,0.04015466570854187,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
23,0.029350709170103073,0.054052796214818954,0.13087928295135498,0.16338668763637543,0.029350709170103073,0.054052796214818954,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
24,0.04384680464863777,0.09022987633943558,0.1588255912065506,0.20290765166282654,0.04384680464863777,0.09022987633943558,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
25,0.04530007392168045,0.11540941148996353,0.16242778301239014,0.23875108361244202,0.04530007392168045,0.11540941148996353,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
26,0.058352675288915634,0.13937313854694366,0.17576362192630768,0.2618321478366852,0.058352675288915634,0.13937313854694366,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
27,0.0636909008026123,0.060876280069351196,0.1826886385679245,0.16013433039188385,0.0636909008026123,0.060876280069351196,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
28,0.03596743941307068,0.06689640134572983,0.14087380468845367,0.18734602630138397,0.03596743941307068,0.06689640134572983,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
29,0.04433364048600197,0.07411867380142212,0.15788491070270538,0.1878228336572647,0.04433364048600197,0.07411867380142212,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
30,0.045445702970027924,0.0601191446185112,0.1601472944021225,0.16208362579345703,0.045445702970027924,0.0601191446185112,DWT_CLSTM_DCCNN,80,1,30,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
1,0.49605968594551086,0.1357199102640152,0.5612873435020447,0.28282326459884644,0.49605968594551086,0.1357199102640152,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
2,0.17568232119083405,0.12685368955135345,0.3260032832622528,0.27777576446533203,0.17568232119083405,0.12685368955135345,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
3,0.12477089464664459,0.1673555225133896,0.2679239809513092,0.3027527332305908,0.12477089464664459,0.1673555225133896,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
4,0.11510971933603287,0.1960725039243698,0.2600082457065582,0.3371521532535553,0.11510971933603287,0.1960725039243698,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
5,0.1405266672372818,0.09213847666978836,0.2848761975765228,0.23689065873622894,0.1405266672372818,0.09213847666978836,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
6,0.08743399381637573,0.05483241006731987,0.22499625384807587,0.1798236072063446,0.08743399381637573,0.05483241006731987,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
7,0.08249664306640625,0.047262463718652725,0.21450744569301605,0.15718162059783936,0.08249664306640625,0.047262463718652725,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
8,0.05917226895689964,0.047237370163202286,0.18317881226539612,0.16288284957408905,0.05917226895689964,0.047237370163202286,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
9,0.04418135806918144,0.04181985184550285,0.16011998057365417,0.14602123200893402,0.04418135806918144,0.04181985184550285,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
10,0.039528150111436844,0.03983157128095627,0.15170052647590637,0.14542602002620697,0.039528150111436844,0.03983157128095627,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
11,0.03198027238249779,0.03899176046252251,0.13506145775318146,0.1462293565273285,0.03198027238249779,0.03899176046252251,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
12,0.03268676623702049,0.03426659107208252,0.13421393930912018,0.13634483516216278,0.03268676623702049,0.03426659107208252,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
13,0.027058059349656105,0.0363130196928978,0.12380599975585938,0.14169719815254211,0.027058059349656105,0.0363130196928978,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
14,0.028982574120163918,0.03362599387764931,0.12890954315662384,0.13121075928211212,0.028982574120163918,0.03362599387764931,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
15,0.025681421160697937,0.04082564264535904,0.11952926963567734,0.15226903557777405,0.025681421160697937,0.04082564264535904,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
16,0.02534879930317402,0.039460696280002594,0.11920663714408875,0.1472286432981491,0.02534879930317402,0.039460696280002594,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
17,0.02596316859126091,0.050825733691453934,0.12206528335809708,0.16973741352558136,0.02596316859126091,0.050825733691453934,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
18,0.026520777493715286,0.06098276749253273,0.12239573895931244,0.17791590094566345,0.026520777493715286,0.06098276749253273,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
19,0.028678443282842636,0.06702692806720734,0.12590380012989044,0.1963004320859909,0.028678443282842636,0.06702692806720734,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
20,0.027562053874135017,0.05511206015944481,0.12651008367538452,0.16024060547351837,0.027562053874135017,0.05511206015944481,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
21,0.028282245621085167,0.039506666362285614,0.12996728718280792,0.14273449778556824,0.028282245621085167,0.039506666362285614,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
22,0.02750791609287262,0.03785577416419983,0.12731187045574188,0.13820859789848328,0.02750791609287262,0.03785577416419983,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
23,0.028852373361587524,0.045940570533275604,0.12933634221553802,0.1631641834974289,0.028852373361587524,0.045940570533275604,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
24,0.036272212862968445,0.10200880467891693,0.14362110197544098,0.2619737982749939,0.036272212862968445,0.10200880467891693,DWT_CLSTM_DCCNN,80,2,29,val_loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
