epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,modelo,numInputs,epochs_usados,early_stopping_monitor,wavelet,dwt_level,low_filters,low_lstm_units,low_dropout,high_filters_1,high_filters_2,high_dilation_rates,high_dropout,dense_units,learning_rate,epochs_max,batch_size,patience
28,0.024218080565333366,,0.11636056751012802,,0.024218080565333366,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
29,0.021831322461366653,,0.10885677486658096,,0.021831322461366653,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
30,0.022559067234396935,,0.11050228774547577,,0.022559067234396935,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
31,0.022142896428704262,,0.10979641228914261,,0.022142896428704262,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
32,0.02243618108332157,,0.11031138896942139,,0.02243618108332157,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
33,0.023787133395671844,,0.11477971822023392,,0.023787133395671844,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
34,0.0240616537630558,,0.11351746320724487,,0.0240616537630558,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
35,0.021985666826367378,,0.1101122722029686,,0.021985666826367378,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
36,0.020630812272429466,,0.10508444905281067,,0.020630812272429466,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
37,0.02219073846936226,,0.108830526471138,,0.02219073846936226,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
38,0.01980065554380417,,0.1044004037976265,,0.01980065554380417,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
39,0.0213644839823246,,0.1070975810289383,,0.0213644839823246,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
40,0.018550217151641846,,0.10118032246828079,,0.018550217151641846,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
41,0.020389819517731667,,0.10574113577604294,,0.020389819517731667,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
42,0.018776174634695053,,0.1012798473238945,,0.018776174634695053,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
43,0.020088013261556625,,0.10572655498981476,,0.020088013261556625,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
44,0.01787165179848671,,0.10037808865308762,,0.01787165179848671,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
45,0.020984143018722534,,0.10413363575935364,,0.020984143018722534,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
46,0.017475616186857224,,0.09880924969911575,,0.017475616186857224,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
47,0.0207232553511858,,0.10673218220472336,,0.0207232553511858,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
48,0.017070353031158447,,0.0971674919128418,,0.017070353031158447,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
49,0.018800145015120506,,0.10097075998783112,,0.018800145015120506,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
50,0.016870727762579918,,0.09776267409324646,,0.016870727762579918,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
51,0.015778139233589172,,0.09447954595088959,,0.015778139233589172,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
52,0.019700177013874054,,0.10371995717287064,,0.019700177013874054,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
53,0.021792206913232803,,0.10482017695903778,,0.021792206913232803,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
54,0.015819989144802094,,0.09423322230577469,,0.015819989144802094,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
55,0.015241319313645363,,0.09249677509069443,,0.015241319313645363,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
56,0.01705634593963623,,0.09625428915023804,,0.01705634593963623,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
57,0.01713295839726925,,0.0981154814362526,,0.01713295839726925,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
58,0.016313686966896057,,0.09471917152404785,,0.016313686966896057,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
59,0.016770360991358757,,0.09562923014163971,,0.016770360991358757,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
60,0.017631525173783302,,0.09752790629863739,,0.017631525173783302,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
61,0.014624903909862041,,0.09011130034923553,,0.014624903909862041,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
62,0.014373821206390858,,0.08918196707963943,,0.014373821206390858,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
63,0.017902059480547905,,0.0989442691206932,,0.017902059480547905,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
64,0.014239609241485596,,0.0888848528265953,,0.014239609241485596,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
65,0.013565226458013058,,0.08645699918270111,,0.013565226458013058,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
66,0.016293974593281746,,0.09387936443090439,,0.016293974593281746,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
67,0.01515357568860054,,0.09097960591316223,,0.01515357568860054,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
68,0.014006172306835651,,0.08800573647022247,,0.014006172306835651,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
69,0.01588451862335205,,0.09227946400642395,,0.01588451862335205,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
70,0.013491831719875336,,0.08697950839996338,,0.013491831719875336,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
71,0.014520041644573212,,0.09064501523971558,,0.014520041644573212,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
72,0.013705247081816196,,0.08714260905981064,,0.013705247081816196,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
73,0.014077641069889069,,0.08713485300540924,,0.014077641069889069,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
74,0.013090013526380062,,0.0854201391339302,,0.013090013526380062,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
75,0.012567288242280483,,0.08398664742708206,,0.012567288242280483,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
76,0.015121694654226303,,0.08984001725912094,,0.015121694654226303,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
77,0.015550335869193077,,0.09104497730731964,,0.015550335869193077,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
78,0.012120037339627743,,0.08190084248781204,,0.012120037339627743,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
79,0.013216192834079266,,0.0850725844502449,,0.013216192834079266,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
80,0.012117435224354267,,0.0824013277888298,,0.012117435224354267,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
81,0.015000352635979652,,0.09014001488685608,,0.015000352635979652,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
82,0.014348017983138561,,0.08727455884218216,,0.014348017983138561,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
83,0.011372100561857224,,0.07957742363214493,,0.011372100561857224,,DWT_CLSTM_DCCNN_final,80,100,loss,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15
