criterio,criterio_bds_usado,numInputs,ventana,numOutputs,numJumps,wavelet,dwt_level,low_filters,low_lstm_units,low_dropout,high_filters_1,high_filters_2,high_dilation_rates,high_dropout,dense_units,learning_rate,epochs_max,batch_size,patience,MAE_val_h10_mean,MAE_val_h10_std,MSE_val_h10_mean,MSE_val_h10_std,RMSE_val_h10_mean,RMSE_val_h10_std,R2_val_h10_mean,R2_val_h10_std,NSE_val_h10_mean,NSE_val_h10_std,BDS_pvalue_mean,BDS_pvalue_min,BDS_folds_pass,BDS_all_folds_pass,BDS_any_fold_pass
MAE_h10,max_BDS_folds_pass,80,80 días,10,1,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15,22.495610272228536,0.4793333008829822,997.7712589864168,76.66201329549698,31.56453049126576,1.2048542867795753,0.9663708646394522,0.003524963411443672,0.9663708646394522,0.003524963411443672,5.5872786441774474e-282,0.0,0,False,False
MSE_h10,max_BDS_folds_pass,80,80 días,10,1,db1,3,"[64, 128, 256]",128,0.5,128,192,"[1, 2, 4, 8]",0.5,64,0.001,100,32,15,22.495610272228536,0.4793333008829822,997.7712589864168,76.66201329549698,31.56453049126576,1.2048542867795753,0.9663708646394522,0.003524963411443672,0.9663708646394522,0.003524963411443672,5.5872786441774474e-282,0.0,0,False,False
