horizonte,n_datos,MAE,MSE,RMSE,R2,NSE,MAPE_pct
1,1,1.9195944300328165,3.6848427758130136,1.9195944300328165,,,0.28568050302785847
5,5,1.9468264231523562,4.902494210075576,2.214157675070946,0.7999823865943947,0.7999823865943947,0.286821221896041
10,10,1.7111989941908405,3.663971971078829,1.914150456750678,0.9524930700670492,0.9524930700670492,0.24980971065182875
