numInputs,ventana,numOutputs,numJumps,alpha,MAE_val_h10_mean,MAE_val_h10_std,MSE_val_h10_mean,MSE_val_h10_std,BDS_pvalue_mean,BDS_pvalue_min,BDS_folds_pass,BDS_all_folds_pass,BDS_any_fold_pass
30,30 días,10,1,0.01,15.6247696493481,0.3526921421090342,649.2369923116537,92.10529268380903,0.00019549992962429515,6.081482837716013e-07,0,False,False
30,30 días,10,1,0.1,15.555848513626856,0.33761614030767456,613.4993428564162,34.28279961573794,1.6362243076041077e-05,5.264256201484135e-07,0,False,False
30,30 días,10,1,1.0,16.186691027210024,0.4445189704538059,626.5408109891204,32.46582395757867,1.9015185929448979e-06,2.84857542296453e-07,0,False,False
30,30 días,10,1,10.0,18.887533666674585,0.33827498089948477,769.3495458828276,25.679404778655357,1.84658242321812e-07,9.390096954263968e-08,0,False,False
30,30 días,10,1,100.0,23.978486930241512,0.78775952397281,1059.815662644342,51.785178543240654,9.977735129810157e-15,3.4637401910401168e-15,0,False,False
60,60 días,10,1,0.01,15.927903164518554,0.8291180310442844,692.7442319725841,42.44409364245615,0.11299210696526259,0.08982732321684268,5,True,True
60,60 días,10,1,0.1,15.867845044643037,0.7566540868104983,657.5262376242438,33.71501969050059,0.099375033752355,0.08870870969499797,5,True,True
60,60 días,10,1,1.0,17.238848109018843,0.6135505288841935,707.3033725579837,60.218261132511145,0.06175928426122897,0.0,4,False,True
60,60 días,10,1,10.0,20.749376114303963,0.3124929995235897,909.8234478233629,43.04300813843291,0.0,0.0,0,False,False
60,60 días,10,1,100.0,27.080359691631156,0.762594254863914,1298.5874650447652,64.45557831109521,0.0,0.0,0,False,False
