horizonte,n_datos,MAE,MSE,RMSE,R2,MAPE_pct
1,1,0.8718991580875581,0.7602081418737927,0.8718991580875581,,0.129758966881229
5,5,1.3302494979368702,2.2627709074899895,1.5042509456503557,0.9076808625965096,0.19562979068861522
10,10,1.8709877164744513,4.228335601772643,2.05629171125418,0.9451755513546497,0.27136375975870863
