criterio,criterio_bds_usado,numInputs,ventana,numOutputs,numJumps,C,epsilon,gamma,kernel,MAE_val_h10_mean,MAE_val_h10_std,MSE_val_h10_mean,MSE_val_h10_std,BDS_pvalue_mean,BDS_pvalue_min,BDS_folds_pass,BDS_all_folds_pass,BDS_any_fold_pass
MAE_h10,max_BDS_folds_pass,30,30 días,10,1,60,0.01,0.03,rbf,19.909961625358967,0.34409967913338196,890.4774919613192,31.718108458235854,7.933029919503426e-08,5.136679765745927e-08,0,False,False
MSE_h10,max_BDS_folds_pass,30,30 días,10,1,60,0.01,0.03,rbf,19.909961625358967,0.34409967913338196,890.4774919613192,31.718108458235854,7.933029919503426e-08,5.136679765745927e-08,0,False,False
