Estacion,Serie,Lag,ACF,Confianza_95,Confianza_sup,Confianza_inf,N
Calamar,Calamar,0,1.0,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,1,0.9991932162310461,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,2,0.9974120325071514,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,3,0.9947689735861307,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,4,0.9913876716342677,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,5,0.9873668620041302,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,6,0.9827420397106643,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,7,0.9776083977470761,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,8,0.9720103430887669,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,9,0.9659927029606845,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,10,0.9595593203742808,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,11,0.9527291576031255,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,12,0.945534449217854,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,13,0.9380012292045937,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,14,0.9301216041740497,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,15,0.9218972659430077,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,16,0.9133488795778587,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,17,0.9044753922088159,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,18,0.8952790398818317,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,19,0.8857870366248224,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,20,0.876015639475024,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
Calamar,Calamar,21,0.8659689552754256,0.01450936597540808,0.01450936597540808,-0.01450936597540808,18248
