Estacion,Serie,Mes,Mes_nombre,N,Min,Q1,Mediana,Media,Q3,Max
PuertoBerrio,Puerto Berrío,4,Abr,1467,250.0,345.0,388.6666667,392.98874297634626,439.0,583.0
PuertoBerrio,Puerto Berrío,5,May,1518,268.0,365.0,411.0,412.8600200895916,456.0,586.0
PuertoBerrio,Puerto Berrío,6,Jun,1472,232.0,341.0,372.0,376.8916125737772,411.0,553.0
PuertoBerrio,Puerto Berrío,7,Jul,1536,210.0,309.0,339.0,343.72326321100263,374.083333325,520.0
PuertoBerrio,Puerto Berrío,8,Ago,1563,200.0,291.0,315.0,321.73686359545746,348.0,505.5
PuertoBerrio,Puerto Berrío,9,Sep,1508,184.0,296.5625,327.0,331.0391999448276,366.0,510.0
PuertoBerrio,Puerto Berrío,10,Oct,1547,215.0,338.04166665,381.0,379.95397223451846,420.1095014,579.0
PuertoBerrio,Puerto Berrío,11,Nov,1501,261.0,371.0,414.6154108,413.9995462951366,456.0,607.0
PuertoBerrio,Puerto Berrío,12,Dic,1513,189.0,332.0,373.0,376.17123720680763,416.0,580.0
Barrancabermeja,Barrancabermeja,1,Ene,1407,16.25,146.0,200.0,202.87746536988627,257.0,430.0
Barrancabermeja,Barrancabermeja,2,Feb,1330,19.9375,145.0,191.9375,201.83779761894738,250.0,484.0
Barrancabermeja,Barrancabermeja,3,Mar,1453,60.0,174.0,241.0,247.6015427964212,314.4375,493.0
Barrancabermeja,Barrancabermeja,4,Abr,1451,115.0,253.375,315.0,313.23789627863545,375.0,536.0
Barrancabermeja,Barrancabermeja,5,May,1508,130.0,288.0,344.21875,343.8544291557692,405.0,510.0
Barrancabermeja,Barrancabermeja,6,Jun,1450,129.0,248.0,293.0,297.56436781593106,345.0,509.0
Barrancabermeja,Barrancabermeja,7,Jul,1476,82.0,200.0,240.0,247.40136630528457,289.859375,468.0
Barrancabermeja,Barrancabermeja,8,Ago,1471,76.16666667,179.375,218.0,225.1453942782529,263.875,443.0
Barrancabermeja,Barrancabermeja,9,Sep,1446,67.0,198.1875,250.0,252.69795986341632,303.78125,453.0
Barrancabermeja,Barrancabermeja,10,Oct,1543,117.0,270.0,324.1875,318.1756464707712,369.5,476.0
Barrancabermeja,Barrancabermeja,11,Nov,1480,162.0,296.8125,352.0,349.4414414441892,403.0,536.0
Barrancabermeja,Barrancabermeja,12,Dic,1446,35.0,223.0,284.63541665,286.9946909577455,348.0,533.0
