epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,gap_abs_val_train_loss,modelo,numInputs,units,dropout,learning_rate,batch_size,scaler,patience_cv,epochs_max_cv,epochs_final,early_stopping_monitor_cv
45,0.004022922832518816,,0.04256922006607056,,0.004022922832518816,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
46,0.004036357626318932,,0.04265831783413887,,0.004036357626318932,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
47,0.004082664847373962,,0.04257949814200401,,0.004082664847373962,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
48,0.0040192026644945145,,0.04232519865036011,,0.0040192026644945145,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
49,0.004082945641130209,,0.042670536786317825,,0.004082945641130209,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
50,0.004111875779926777,,0.04300916567444801,,0.004111875779926777,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
51,0.004073407035320997,,0.04272357374429703,,0.004073407035320997,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
52,0.004163828212767839,,0.043138112872838974,,0.004163828212767839,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
53,0.004063951317220926,,0.04264327511191368,,0.004063951317220926,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
54,0.003987038508057594,,0.04220132529735565,,0.003987038508057594,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
55,0.003990687429904938,,0.04216398298740387,,0.003990687429904938,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
56,0.003980766981840134,,0.042004961520433426,,0.003980766981840134,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
57,0.004002790432423353,,0.04214765504002571,,0.004002790432423353,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
58,0.004019643645733595,,0.04222951829433441,,0.004019643645733595,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
59,0.003997041843831539,,0.04192293807864189,,0.003997041843831539,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
60,0.0043670558370649815,,0.043980926275253296,,0.0043670558370649815,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
61,0.004019469954073429,,0.04227156937122345,,0.004019469954073429,,,RNN,15,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,61,val_loss
