criterio,criterio_bds_usado,numInputs,ventana,numOutputs,numJumps,units,dropout,learning_rate,batch_size,scaler,MAE_val_h10_mean,MAE_val_h10_std,MSE_val_h10_mean,MSE_val_h10_std,BDS_pvalue_mean,BDS_pvalue_min,BDS_folds_pass,BDS_all_folds_pass,BDS_any_fold_pass,epochs_usados_mean,epochs_usados_median,best_epoch_val_loss_mean,best_epoch_val_loss_median,best_val_loss_mean
MAE_h10,max_BDS_folds_pass,15,15 días,10,1,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",15.711769478305282,0.31311534560514326,593.5038224633041,28.15228952662457,1.6607393485320012e-11,3.478376045745785e-13,0,False,False,81.8,81.0,61.8,61.0,0.0034071121830493213
MSE_h10,max_BDS_folds_pass,15,15 días,10,1,128,0.1,0.0005,32,"MinMaxScaler(-1,1)",15.711769478305282,0.31311534560514326,593.5038224633041,28.15228952662457,1.6607393485320012e-11,3.478376045745785e-13,0,False,False,81.8,81.0,61.8,61.0,0.0034071121830493213
