epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,gap_abs_val_train_loss,fold,modelo,numInputs,units,dropout,learning_rate,batch_size,scaler,patience,epochs_max,early_stopping_monitor,best_epoch_val_loss_fold,best_val_loss_fold,epochs_usados_fold
20,0.0056032151915133,0.003975957632064819,0.054506365209817886,0.04264961555600166,0.0056032151915133,0.003975957632064819,0.0016272575594484806,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
21,0.0055406345054507256,0.003880301723256707,0.054164495319128036,0.04224085807800293,0.0055406345054507256,0.003880301723256707,0.0016603327821940184,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
22,0.005538031924515963,0.003895167028531432,0.054019030183553696,0.042072173207998276,0.005538031924515963,0.003895167028531432,0.0016428648959845304,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
23,0.005537590477615595,0.0038465596735477448,0.05388743802905083,0.04175389185547829,0.005537590477615595,0.0038465596735477448,0.0016910308040678501,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
24,0.005416541360318661,0.0038067088462412357,0.05301479995250702,0.04148085415363312,0.005416541360318661,0.0038067088462412357,0.001609832514077425,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
25,0.005420684348791838,0.0038388799875974655,0.053068432956933975,0.04213913902640343,0.005420684348791838,0.0038388799875974655,0.0015818043611943722,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
26,0.0053781005553901196,0.003762440290302038,0.05296386778354645,0.041394174098968506,0.0053781005553901196,0.003762440290302038,0.0016156602650880814,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
27,0.005176730453968048,0.003779555903747678,0.05214066058397293,0.04126015305519104,0.005176730453968048,0.003779555903747678,0.0013971745502203703,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
28,0.005122821312397718,0.003774522338062525,0.051681287586688995,0.04176494851708412,0.005122821312397718,0.003774522338062525,0.0013482989743351936,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
29,0.005147317424416542,0.0037308987230062485,0.05176372453570366,0.041130371391773224,0.005147317424416542,0.0037308987230062485,0.0014164187014102936,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
30,0.005042201839387417,0.003704686416313052,0.050931625068187714,0.04076165333390236,0.005042201839387417,0.003704686416313052,0.0013375154230743647,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
31,0.005007164552807808,0.003733587684109807,0.05101843923330307,0.04084265977144241,0.005007164552807808,0.003733587684109807,0.001273576868698001,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
32,0.00494771171361208,0.0036869400646537542,0.05043533444404602,0.04027996212244034,0.00494771171361208,0.0036869400646537542,0.0012607716489583254,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
33,0.005036520306020975,0.003718004794791341,0.05084338039159775,0.04101180657744408,0.005036520306020975,0.003718004794791341,0.0013185155112296343,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
34,0.00506014097481966,0.003651459002867341,0.05082843452692032,0.040058378130197525,0.00506014097481966,0.003651459002867341,0.0014086819719523191,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
35,0.004845070652663708,0.003627300728112459,0.04993642866611481,0.03994611278176308,0.004845070652663708,0.003627300728112459,0.0012177699245512486,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
36,0.0047669196501374245,0.0036259687040001154,0.049542296677827835,0.040300462394952774,0.0047669196501374245,0.0036259687040001154,0.001140950946137309,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
37,0.004923850763589144,0.0036386405117809772,0.05027519538998604,0.0399947389960289,0.004923850763589144,0.0036386405117809772,0.0012852102518081665,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
38,0.004840714391320944,0.003619189839810133,0.049911852926015854,0.039683133363723755,0.004840714391320944,0.003619189839810133,0.0012215245515108109,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
39,0.004789426457136869,0.003653640393167734,0.049561820924282074,0.04019546136260033,0.004789426457136869,0.003653640393167734,0.0011357860639691353,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
40,0.0047901710495352745,0.0036298860795795918,0.04939054697751999,0.04007292166352272,0.0047901710495352745,0.0036298860795795918,0.0011602849699556828,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
41,0.004731571301817894,0.00358147663064301,0.049159154295921326,0.03939855843782425,0.004731571301817894,0.00358147663064301,0.0011500946711748838,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
42,0.004671517759561539,0.003570377826690674,0.04871836304664612,0.03941036015748978,0.004671517759561539,0.003570377826690674,0.0011011399328708649,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
43,0.004774573724716902,0.0035591230262070894,0.0494299978017807,0.0394468791782856,0.004774573724716902,0.0035591230262070894,0.0012154506985098124,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
44,0.004696371033787727,0.003654880914837122,0.048885881900787354,0.04039981961250305,0.004696371033787727,0.003654880914837122,0.0010414901189506054,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
45,0.004706603474915028,0.0035859346389770508,0.04890422895550728,0.03938949853181839,0.004706603474915028,0.0035859346389770508,0.0011206688359379768,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
46,0.004528990481048822,0.003540837438777089,0.04757751524448395,0.03909468278288841,0.004528990481048822,0.003540837438777089,0.0009881530422717333,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
47,0.004401391372084618,0.003570716828107834,0.04726456478238106,0.03971901163458824,0.004401391372084618,0.003570716828107834,0.0008306745439767838,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
48,0.004534966312348843,0.0035394567530602217,0.047937385737895966,0.03914615139365196,0.004534966312348843,0.0035394567530602217,0.000995509559288621,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
49,0.004520532675087452,0.0035311782266944647,0.04759639874100685,0.03891940787434578,0.004520532675087452,0.0035311782266944647,0.0009893544483929873,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
50,0.0045665567740798,0.003537887940183282,0.04781344160437584,0.039151523262262344,0.0045665567740798,0.003537887940183282,0.0010286688338965178,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
51,0.004450059961527586,0.003543566446751356,0.04720195382833481,0.03919598460197449,0.004450059961527586,0.003543566446751356,0.0009064935147762299,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
52,0.004488800652325153,0.0035811010748147964,0.04737135022878647,0.03971763700246811,0.004488800652325153,0.0035811010748147964,0.0009076995775103569,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
53,0.004341642837971449,0.003554772352799773,0.047048769891262054,0.03949415311217308,0.004341642837971449,0.003554772352799773,0.0007868704851716757,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
54,0.004513743333518505,0.0035499895457178354,0.047443099319934845,0.03929191455245018,0.004513743333518505,0.0035499895457178354,0.0009637537878006697,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
55,0.0044438899494707584,0.0035381424240767956,0.04725829139351845,0.0391610786318779,0.0044438899494707584,0.0035381424240767956,0.0009057475253939629,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
56,0.004453214351087809,0.0035269504878669977,0.04704577475786209,0.03906925395131111,0.004453214351087809,0.0035269504878669977,0.0009262638632208109,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
57,0.004369620233774185,0.0035316171124577522,0.04663408547639847,0.03913614898920059,0.004369620233774185,0.0035316171124577522,0.000838003121316433,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
58,0.0043212478049099445,0.003517511999234557,0.04668278247117996,0.03890104964375496,0.0043212478049099445,0.003517511999234557,0.0008037358056753874,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
59,0.004349561408162117,0.0035232354421168566,0.04656577482819557,0.0390179380774498,0.004349561408162117,0.0035232354421168566,0.0008263259660452604,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
60,0.004423608537763357,0.003549890359863639,0.04705042392015457,0.03959568217396736,0.004423608537763357,0.003549890359863639,0.0008737181778997183,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
61,0.004308062139898539,0.003533371724188328,0.04632847011089325,0.03912469744682312,0.004308062139898539,0.003533371724188328,0.0007746904157102108,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
62,0.00436645932495594,0.003514079377055168,0.04654240980744362,0.038796260952949524,0.00436645932495594,0.003514079377055168,0.0008523799479007721,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
63,0.0043860930018126965,0.003529907902702689,0.046898189932107925,0.03911701217293739,0.0043860930018126965,0.003529907902702689,0.0008561850991100073,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
64,0.004449816886335611,0.0035235995892435312,0.04697102680802345,0.03910914063453674,0.004449816886335611,0.0035235995892435312,0.0009262172970920801,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
65,0.004212258383631706,0.003517717821523547,0.04606339707970619,0.03892592340707779,0.004212258383631706,0.003517717821523547,0.0006945405621081591,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
66,0.004404051695019007,0.00354486214928329,0.046761758625507355,0.03939924016594887,0.004404051695019007,0.00354486214928329,0.0008591895457357168,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
67,0.00430593965575099,0.00351388705894351,0.04630361497402191,0.038922056555747986,0.00430593965575099,0.00351388705894351,0.0007920525968074799,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
68,0.004283233545720577,0.0035114246420562267,0.04616605117917061,0.03892318531870842,0.004283233545720577,0.0035114246420562267,0.0007718089036643505,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
69,0.004308060742914677,0.003502202220261097,0.046450965106487274,0.03857170045375824,0.004308060742914677,0.003502202220261097,0.0008058585226535797,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
70,0.004319002386182547,0.0035080474335700274,0.046131160110235214,0.03871813789010048,0.004319002386182547,0.0035080474335700274,0.0008109549526125193,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
71,0.004305563867092133,0.0035232475493103266,0.04647788032889366,0.0391375906765461,0.004305563867092133,0.0035232475493103266,0.000782316317781806,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
72,0.0042252507992088795,0.003527035005390644,0.04590331390500069,0.03930996358394623,0.0042252507992088795,0.003527035005390644,0.0006982157938182354,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
73,0.004197211470454931,0.0035111785400658846,0.04552138224244118,0.03893481567502022,0.004197211470454931,0.0035111785400658846,0.0006860329303890467,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
74,0.004284555558115244,0.0035267253406345844,0.04615240916609764,0.03932790458202362,0.004284555558115244,0.0035267253406345844,0.0007578302174806595,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
75,0.004266149364411831,0.0035075447522103786,0.04621194303035736,0.038765355944633484,0.004266149364411831,0.0035075447522103786,0.0007586046122014523,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
76,0.004356469959020615,0.003506068605929613,0.046507224440574646,0.03870681673288345,0.004356469959020615,0.003506068605929613,0.0008504013530910015,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
77,0.00427418015897274,0.0035038848873227835,0.04606792703270912,0.03862195089459419,0.00427418015897274,0.0035038848873227835,0.0007702952716499567,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
78,0.004327697213739157,0.0035086413845419884,0.046422313898801804,0.038823485374450684,0.004327697213739157,0.0035086413845419884,0.0008190558291971684,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
79,0.004243458155542612,0.003508331486955285,0.045651644468307495,0.03880370408296585,0.004243458155542612,0.003508331486955285,0.000735126668587327,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
80,0.004296956583857536,0.0035126940347254276,0.04604586958885193,0.03893141821026802,0.004296956583857536,0.0035126940347254276,0.0007842625491321087,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
81,0.004247291944921017,0.003507465124130249,0.046088919043540955,0.03861985728144646,0.004247291944921017,0.003507465124130249,0.0007398268207907677,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
82,0.00413576839491725,0.0035063191317021847,0.04522943124175072,0.038688596338033676,0.00413576839491725,0.0035063191317021847,0.000629449263215065,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
83,0.004223016556352377,0.003503431100398302,0.04593856632709503,0.03849531710147858,0.004223016556352377,0.003503431100398302,0.0007195854559540749,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
84,0.004165634047240019,0.0035024001263082027,0.04554828628897667,0.03855569288134575,0.004165634047240019,0.0035024001263082027,0.0006632339209318161,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
85,0.004266807343810797,0.0035077857319265604,0.04590592533349991,0.038786888122558594,0.004266807343810797,0.0035077857319265604,0.0007590216118842363,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
86,0.004226188641041517,0.003503920743241906,0.04564216732978821,0.03859131038188934,0.004226188641041517,0.003503920743241906,0.0007222678977996111,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
87,0.004234684631228447,0.0035023351665586233,0.04585149511694908,0.03841591626405716,0.004234684631228447,0.0035023351665586233,0.0007323494646698236,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
88,0.004294324666261673,0.0035073580220341682,0.04596656188368797,0.03828846663236618,0.004294324666261673,0.0035073580220341682,0.0007869666442275047,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
89,0.004196088295429945,0.0035034772008657455,0.0457172617316246,0.038438402116298676,0.004196088295429945,0.0035034772008657455,0.0006926110945641994,0,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,69,0.003502202220261097,89
1,0.05471966788172722,0.01779581792652607,0.1685890108346939,0.1025984063744545,0.05471966788172722,0.01779581792652607,0.03692384995520115,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
2,0.01658959873020649,0.007489976938813925,0.09723684936761856,0.06650077551603317,0.01658959873020649,0.007489976938813925,0.009099621791392565,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
3,0.011321157217025757,0.006377529352903366,0.07948494702577591,0.06052210181951523,0.011321157217025757,0.006377529352903366,0.004943627864122391,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
4,0.009853008203208447,0.005652847234159708,0.07370556145906448,0.05506300553679466,0.009853008203208447,0.005652847234159708,0.0042001609690487385,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
5,0.009130716323852539,0.005434008315205574,0.07089236378669739,0.053628697991371155,0.009130716323852539,0.005434008315205574,0.003696708008646965,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
6,0.008489586412906647,0.005116221494972706,0.06778890639543533,0.05120375007390976,0.008489586412906647,0.005116221494972706,0.003373364917933941,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
7,0.008094239048659801,0.005017921794205904,0.06620536744594574,0.050620999187231064,0.008094239048659801,0.005017921794205904,0.0030763172544538975,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
8,0.007775661535561085,0.004696792922914028,0.06462282687425613,0.047961119562387466,0.007775661535561085,0.004696792922914028,0.0030788686126470566,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
9,0.007133965380489826,0.004672922194004059,0.062119487673044205,0.048486288636922836,0.007133965380489826,0.004672922194004059,0.0024610431864857674,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
10,0.0069703287445008755,0.004569557961076498,0.06119322031736374,0.047852061688899994,0.0069703287445008755,0.004569557961076498,0.0024007707834243774,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
11,0.006711840629577637,0.0044328924268484116,0.05988089367747307,0.04666997864842415,0.006711840629577637,0.0044328924268484116,0.002278948202729225,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
12,0.006621352396905422,0.004467057529836893,0.05927862226963043,0.04754847288131714,0.006621352396905422,0.004467057529836893,0.002154294867068529,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
13,0.006483517587184906,0.004245904739946127,0.059032734483480453,0.04549584165215492,0.006483517587184906,0.004245904739946127,0.002237612847238779,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
14,0.00632055476307869,0.004164370242506266,0.05810347571969032,0.045036472380161285,0.00632055476307869,0.004164370242506266,0.002156184520572424,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
15,0.006217757239937782,0.004217129200696945,0.05719974637031555,0.04545147344470024,0.006217757239937782,0.004217129200696945,0.002000628039240837,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
16,0.006095203571021557,0.004238598048686981,0.05684364214539528,0.04631635546684265,0.006095203571021557,0.004238598048686981,0.0018566055223345757,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
17,0.006048617418855429,0.0040079141035676,0.056569963693618774,0.043732836842536926,0.006048617418855429,0.0040079141035676,0.0020407033152878284,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
18,0.005851471330970526,0.003940078895539045,0.055476486682891846,0.043172549456357956,0.005851471330970526,0.003940078895539045,0.0019113924354314804,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
19,0.0058013033121824265,0.004050818271934986,0.05512610077857971,0.045026179403066635,0.0058013033121824265,0.004050818271934986,0.0017504850402474403,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
20,0.005672870669513941,0.003938330803066492,0.05464380979537964,0.04295004531741142,0.005672870669513941,0.003938330803066492,0.0017345398664474487,1,RNN,15,64,0.1,0.0005,32,"MinMaxScaler(-1,1)",20,150,val_loss,106,0.0031848836224526167,126
