horizonte,n_datos,MAE,MSE,RMSE,R2,MAPE_pct
1,1,1.793333333333294,3.2160444444443033,1.793333333333294,,0.26688990171456334
5,5,2.2375,5.532958559027777,2.352224172783661,0.7742599748971876,0.32929014514971683
10,10,1.992624999999998,4.389972751736107,2.095226181522202,0.9430797698316226,0.29057342764632993
