epoch,loss_train,loss_val,mae_train,mae_val,mse_train,mse_val,tipo_entrenamiento,numInputs,fold,hidden_layers,dropout,learning_rate,patience,epochs_max,early_stopping_monitor,y_mean,y_std,epochs_usados
1,0.553303599357605,0.17773394286632538,0.5801329016685486,0.3388727605342865,0.553303599357605,0.17773394286632538,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
2,0.25566238164901733,0.09810186177492142,0.392588347196579,0.24914415180683136,0.25566238164901733,0.09810186177492142,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
3,0.16163240373134613,0.06477781385183334,0.30653315782546997,0.20088976621627808,0.16163240373134613,0.06477781385183334,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
4,0.13184426724910736,0.05681801587343216,0.2727243900299072,0.18176348507404327,0.13184426724910736,0.05681801587343216,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
5,0.11321303993463516,0.04491109773516655,0.2529052197933197,0.16133782267570496,0.11321303993463516,0.04491109773516655,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
6,0.09158529341220856,0.04080129787325859,0.22660861909389496,0.15316036343574524,0.09158529341220856,0.04080129787325859,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
7,0.09254537522792816,0.03792796656489372,0.2246273308992386,0.14776742458343506,0.09254537522792816,0.03792796656489372,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
8,0.08696843683719635,0.04055878520011902,0.21876117587089539,0.14989013969898224,0.08696843683719635,0.04055878520011902,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
9,0.08049532026052475,0.03548727184534073,0.21104341745376587,0.1389414668083191,0.08049532026052475,0.03548727184534073,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
10,0.07392705231904984,0.0387810543179512,0.20393440127372742,0.14480406045913696,0.07392705231904984,0.0387810543179512,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
11,0.07011593133211136,0.033475544303655624,0.19683539867401123,0.13561229407787323,0.07011593133211136,0.033475544303655624,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
12,0.06754126399755478,0.03321627527475357,0.1935855895280838,0.1336110234260559,0.06754126399755478,0.03321627527475357,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
13,0.06938482820987701,0.05294879525899887,0.1949143409729004,0.16341331601142883,0.06938482820987701,0.05294879525899887,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
14,0.07306142151355743,0.03358079493045807,0.20065665245056152,0.13244618475437164,0.07306142151355743,0.03358079493045807,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
15,0.06325966119766235,0.044622767716646194,0.18712127208709717,0.15260516107082367,0.06325966119766235,0.044622767716646194,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
16,0.06479942798614502,0.03522765263915062,0.18842364847660065,0.14445911347866058,0.06479942798614502,0.03522765263915062,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
17,0.06255266070365906,0.03338918834924698,0.18541112542152405,0.132338285446167,0.06255266070365906,0.03338918834924698,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
18,0.06421954184770584,0.030847998335957527,0.18647468090057373,0.12784913182258606,0.06421954184770584,0.030847998335957527,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
19,0.059707414358854294,0.03076641820371151,0.1818522810935974,0.126991868019104,0.059707414358854294,0.03076641820371151,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
20,0.05780736729502678,0.029531341046094894,0.1802619993686676,0.12322352081537247,0.05780736729502678,0.029531341046094894,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
21,0.05730050802230835,0.033820804208517075,0.17627640068531036,0.1338285356760025,0.05730050802230835,0.033820804208517075,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
22,0.058439746499061584,0.029486754909157753,0.17653799057006836,0.1246863305568695,0.058439746499061584,0.029486754909157753,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
23,0.05171580985188484,0.028783287853002548,0.16999472677707672,0.11930424720048904,0.05171580985188484,0.028783287853002548,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
24,0.05120014399290085,0.02875988371670246,0.16704533994197845,0.1241731271147728,0.05120014399290085,0.02875988371670246,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
25,0.05372154712677002,0.029904644936323166,0.1690828800201416,0.12408966571092606,0.05372154712677002,0.029904644936323166,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
26,0.05073918029665947,0.029111554846167564,0.16739501059055328,0.12207842618227005,0.05073918029665947,0.029111554846167564,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
27,0.05385717377066612,0.02992197498679161,0.17134904861450195,0.12425601482391357,0.05385717377066612,0.02992197498679161,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
28,0.05720267817378044,0.028545284643769264,0.1814839094877243,0.11853422224521637,0.05720267817378044,0.028545284643769264,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
29,0.050678953528404236,0.027728935703635216,0.16743576526641846,0.11736594885587692,0.050678953528404236,0.027728935703635216,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
30,0.0493270568549633,0.02731170691549778,0.16572529077529907,0.11415892094373703,0.0493270568549633,0.02731170691549778,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
31,0.046284545212984085,0.02687879092991352,0.15908469259738922,0.11521157622337341,0.046284545212984085,0.02687879092991352,validacion_cruzada,30,0,"(64, 32)",0.1,0.001,15,100,val_loss,546.6337814959503,170.30284220351092,86
