Fecha,SVR,Random Forest,KNN,XGBoost,Árbol de Decisión,Ridge,Lasso,CNN,RNN,XARIMA/ARIMA,LSTM,MLP
2024-11-10,0.8261951159935279,1.0642666666667537,1.9299205648367206,1.6991600000000062,0.03571428571433444,2.4510872903458676,2.4551442395257936,0.3831000000000131,4.767299651442727,5.844418997115554,3.4279999999999973,8.365749744858249
2024-11-11,0.07320018521318161,1.3528702380953064,0.37958963663379564,1.8561999999999443,0.828125,1.6664555285940423,1.6642629223288168,0.47249999999996817,3.972801085415199,5.35803043387034,3.0691000000000486,8.36707118643892
2024-11-12,1.9014440960294223,2.16418571428585,2.4367470279854615,2.1015599999999495,2.5625,3.4185939399435483,3.418257565894237,1.2750999999999522,5.388327346489405,6.447269635439966,3.99879999999996,9.38224048122072
2024-11-13,2.467042953782652,3.2218749999999545,1.6311187876412987,2.253900000000044,4.7999999999999545,0.6182777384462952,0.6176990296661415,3.003659999999968,0.8800871441295612,2.8110912397514767,0.3747600000000375,6.047689972685816
2024-11-14,2.8225756701040154,2.8623833333334687,2.677012386397905,3.6393399999999474,0.7265625,3.879182197244404,3.875254045468182,1.863650000000007,5.589908527442844,5.747413143524227,4.4577600000000075,8.616459824117328
2024-11-15,3.255031350373315,3.190174999999954,2.6464248400520773,3.304899999999975,3.0625,4.960026936063969,4.963212099309544,2.5517999999999574,5.866248974458699,7.454382045228954,6.105699999999956,10.458637055332588
2024-11-16,0.07379587291325151,0.4460000000000264,0.5211327004841451,2.6077000000000226,0.7999999999999545,2.192798960003529,2.1929293877561804,0.4693600000000515,2.6211230886145813,6.026571956887437,5.67303000000004,9.702328872833164
2024-11-17,0.5193321567837756,1.2561249999999973,0.6232533970310214,0.4342699999999695,0.4874999999999545,1.49449446750657,1.4924746977816312,1.2509999999999764,1.6886100443557552,4.690994299473232,5.419740000000047,8.301822038998012
2024-11-18,2.7189872101225774,2.688416666666626,3.902415148607929,1.5854000000000497,1.125,1.021436239316131,1.0227935230134335,3.6659499999999525,1.1170150131174523,1.215093712909379,2.4183000000000447,4.5005729114652695
2024-11-19,0.012253051416792005,0.4156583333333401,0.6791170408952212,0.8161999999999807,0.22916666666662877,0.8493506409073461,0.8459942353538281,1.3877999999999702,0.9446843168907435,1.306266887459742,3.1927500000000464,3.9030825337071064
